schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_00,libero_object,0,0,pick up the alphabet soup and place it in the basket,7,True,task_success,1c42589e6fcbe5a26c844edf29a2a787544e53fbc7717f3700eec952b4d97d13,10,178,18.31474038000306,1,153,True,178,112,111,66,111,0,0,17,161,175,1,106.40270700241672,128.8769829989178,132.189138996182,
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_01,libero_object,0,1,pick up the alphabet soup and place it in the basket,7,True,task_success,8108b776b0b2eeb48360c3399b08657d491b1b22876275bd39982c68f0608de6,10,152,12.22592720699322,1,226,True,152,95,94,56,94,0,0,18,134,150,1,107.00405699753901,129.92392714877496,132.3623089992907,
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_02,libero_object,0,2,pick up the alphabet soup and place it in the basket,7,True,task_success,5d0007fde4089c300f517302c32ed14d16e94f7567471940128c3294e9f6bf25,10,227,15.803701491000538,1,299,True,227,142,141,84,141,0,0,23,204,224,1,107.09224200400058,130.0697010010481,135.58650400227634,
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_03,libero_object,0,3,pick up the alphabet soup and place it in the basket,7,True,task_success,47970af7b7dea518fbcb54d40f5ff12d9d522f26890455dc4778cdf64e9b0b7b,10,239,16.66412895200483,1,372,True,239,150,149,89,149,0,0,27,212,238,1,105.08370000025025,128.58078059798572,133.02965900220443,
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_00,libero_object,1,0,pick up the cream cheese and place it in the basket,7,True,task_success,cd0780e7a57c5ba538e200537fe0720974e2e5b06dad4770cd79d498f19d3ced,10,126,11.043152557998837,1,445,True,126,79,78,47,78,0,0,17,109,124,1,109.19946549984161,131.14726280000468,134.46693099831464,
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_01,libero_object,1,1,pick up the cream cheese and place it in the basket,7,True,task_success,569a3345ff1cbf63903f8fc0ecf1a2412b8200e32d1342053c9a3c0f65848f6f,10,121,10.73743681400083,1,518,True,121,76,75,44,75,0,0,15,106,119,1,106.94299299939303,129.87157500028843,130.69681799970567,
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_02,libero_object,1,2,pick up the cream cheese and place it in the basket,7,True,task_success,b82ed3ffbe0cb0731adf1f8a69c2cf7dc0f66f72a44b4da1f028bfc08173df58,10,123,10.831035181996413,1,591,True,123,77,76,46,76,0,0,17,106,120,1,106.5949579970038,129.43409900071856,131.91623299644561,
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_03,libero_object,1,3,pick up the cream cheese and place it in the basket,7,True,task_success,63c6be4dd758e10198cb8f77d80e8299bfa936e1d5ca3afcaba407db3f61a9d1,10,141,11.587217787004192,1,664,True,141,88,87,52,87,0,0,15,126,138,1,105.56692499812925,128.13326769828564,132.45628000004217,
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_00,libero_object,2,0,pick up the salad dressing and place it in the basket,7,True,task_success,4aef6926b34207f4c23284495324fdeb8fa6ae6f812ae22387b7f644c28b4ecf,10,129,11.14566424399527,1,737,True,129,81,80,47,80,0,0,14,115,126,1,106.6207094991114,129.8231028504233,130.96568400214892,
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_01,libero_object,2,1,pick up the salad dressing and place it in the basket,7,True,task_success,3377602acb8e683c2f8072aafbb01e7b7034b6a73e05c788eee6c1c782d29a64,10,130,11.174133529995743,1,810,True,130,82,81,48,81,0,0,16,114,128,1,106.28087200166192,128.60000100045,131.60131800395902,
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_02,libero_object,2,2,pick up the salad dressing and place it in the basket,7,True,task_success,7077c2b0ad3b54c6a3da7a35645f2abe234b788937b0e23fdc050ded83655274,10,117,10.488178990999586,1,883,True,117,73,72,43,72,0,0,13,104,114,1,106.68640549920383,129.97885139739083,133.0174199974863,
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_03,libero_object,2,3,pick up the salad dressing and place it in the basket,7,True,task_success,716292da64262dd5dcb08b6e4f5930233b232f79970946bd20b49b4a1ad38b65,10,158,12.564129985999898,1,956,True,158,99,98,58,98,0,0,17,141,155,1,106.68761299893958,128.59090300189564,131.44364100298844,
armbench.pi05_libero_independent_clock.v1,libero_object__task_003__episode_00,libero_object,3,0,pick up the bbq sauce and place it in the basket,7,True,task_success,e7aacc894f55feb754b32bf76bdded5e758ff928ce18e89672598fce023f5e87,10,170,13.083673011999053,1,1029,True,170,107,106,62,106,0,0,20,150,167,1,105.72384749684716,128.70204875071067,131.2604749982711,
armbench.pi05_libero_independent_clock.v1,libero_object__task_003__episode_01,libero_object,3,1,pick up the bbq sauce and place it in the basket,7,True,task_success,6679884f1178b047dc201f7f3f283c4ae2389dde18f5e63b116bf5b1f57f68f1,10,147,12.012622706999537,1,1102,True,147,92,91,54,91,0,0,16,131,144,1,106.39354399609147,129.68462749631726,133.1142240014742,
armbench.pi05_libero_independent_clock.v1,libero_object__task_003__episode_02,libero_object,3,2,pick up the bbq sauce and place it in the basket,7,True,task_success,bb21efe9f5778bc97276ae6990e66e8ddccdb3b9fbe6de5d933ed47067a032a4,10,128,11.076416604999395,1,1175,True,128,80,79,47,79,0,0,16,112,126,1,107.32057200220879,130.25739360164152,132.40637599665206,
armbench.pi05_libero_independent_clock.v1,libero_object__task_003__episode_03,libero_object,3,3,pick up the bbq sauce and place it in the basket,7,True,task_success,96741b26903326f1dc56bd6346388c3c6dd8071e0d682881abda2adee7cd236a,10,118,10.533481426995422,1,1248,True,118,74,73,43,73,0,0,14,104,116,1,106.37847900216002,129.55654140096158,131.4450999998371,
armbench.pi05_libero_independent_clock.v1,libero_object__task_004__episode_00,libero_object,4,0,pick up the ketchup and place it in the basket,7,True,task_success,65c2427a4638cca8aa08a1ffc2d91504ef3fffc97ca065efb368e4a83ec3d8fa,10,183,13.814944280995405,1,1321,True,183,115,114,67,114,0,0,18,165,181,1,105.76314450008795,128.42424134614703,131.89851099741645,
armbench.pi05_libero_independent_clock.v1,libero_object__task_004__episode_01,libero_object,4,1,pick up the ketchup and place it in the basket,7,True,task_success,48555ae71b715c419d8a097b6445eefae1b42779e540bd5498f68be6dbd0974a,10,139,11.683128576005402,1,1394,True,139,87,86,51,86,0,0,16,123,136,1,106.95041999861132,129.11051199989743,131.6445880001993,
armbench.pi05_libero_independent_clock.v1,libero_object__task_004__episode_02,libero_object,4,2,pick up the ketchup and place it in the basket,7,True,task_success,66d7017a12f88ba66823c92a4f58c0f375c114ed92c41491afd06db590a8db9d,10,149,12.168882968006073,1,1467,True,149,94,93,55,93,0,0,16,133,147,1,106.02232199744321,129.0755955997156,131.1699680009042,
armbench.pi05_libero_independent_clock.v1,libero_object__task_004__episode_03,libero_object,4,3,pick up the ketchup and place it in the basket,7,True,task_success,032fba8839c27f33814fc19d1714a2956775a3385bafdc37a8797bd0418ce23d,10,157,12.486437428997306,1,1540,True,157,98,97,58,97,0,0,20,137,153,1,107.9082729993388,130.43178540101508,138.64623999688774,
armbench.pi05_libero_independent_clock.v1,libero_object__task_005__episode_00,libero_object,5,0,pick up the tomato sauce and place it in the basket,7,True,task_success,c0fc53f4f1bbc048b4f5940812bd789b01de63951a3d828d630e47864e105530,10,174,13.448540431003494,1,1613,True,174,109,108,64,108,0,0,20,154,170,1,107.30922500079032,129.62813524864032,131.86241299990797,
armbench.pi05_libero_independent_clock.v1,libero_object__task_005__episode_01,libero_object,5,1,pick up the tomato sauce and place it in the basket,7,True,task_success,204c5c1e625fd0112438c0d3deead5dc7b985eb986edda62c0b9138fca4e7b4c,10,121,10.844600572992931,1,1686,True,121,76,75,44,75,0,0,14,107,118,1,106.60045500117121,129.6951315991464,132.0017129983171,
armbench.pi05_libero_independent_clock.v1,libero_object__task_005__episode_02,libero_object,5,2,pick up the tomato sauce and place it in the basket,7,True,task_success,c43852eb9c1630294b26684c10934b7d9bf695cfd3509697c0cfb942daf28002,10,143,11.955089991999557,1,1759,True,143,90,89,52,89,0,0,17,126,139,1,107.44100000010803,129.084466000495,131.326214002911,
armbench.pi05_libero_independent_clock.v1,libero_object__task_005__episode_03,libero_object,5,3,pick up the tomato sauce and place it in the basket,7,True,task_success,9a47c3d9c92de6088bf554c23a214cf4384debb2455708b0ceff5707ac46ace0,10,140,11.81810792900069,1,1832,True,140,88,87,51,87,0,0,15,125,138,1,107.31204899639124,129.36157910517068,130.69075100065675,
armbench.pi05_libero_independent_clock.v1,libero_object__task_006__episode_00,libero_object,6,0,pick up the butter and place it in the basket,7,True,task_success,b691696b2f926554b31bfe5f9db206ae3c453cb37fbed42a3283da14c6fb81c5,10,177,13.572737893999147,1,1905,True,177,110,109,66,109,0,0,22,155,175,1,108.72874900087481,131.6157646026113,137.03797899506753,
armbench.pi05_libero_independent_clock.v1,libero_object__task_006__episode_01,libero_object,6,1,pick up the butter and place it in the basket,7,True,task_success,e41fba6263ecbcfee73c37d56428c80e9c240ba67fb3e304ea0521177d4ad841,10,155,12.473345096004778,1,1978,True,155,97,96,57,96,0,0,18,137,153,1,107.08288650130271,129.65707424700668,132.99149600061355,
armbench.pi05_libero_independent_clock.v1,libero_object__task_006__episode_02,libero_object,6,2,pick up the butter and place it in the basket,7,True,task_success,070134f1681fd49f2a82245a01abf3f3b2b06e3b23cdd22838bbaf6f484acbe6,10,216,15.60842669399426,1,2051,True,216,135,134,81,134,0,0,27,189,214,1,107.6131704976433,129.81537154664693,138.00264399469597,
armbench.pi05_libero_independent_clock.v1,libero_object__task_006__episode_03,libero_object,6,3,pick up the butter and place it in the basket,7,True,task_success,3fb8c60fb888af848e6811fc82f6c7831399d77701b71d07b0a14d5536f2b362,10,193,14.465003623001394,1,2124,True,193,121,120,72,120,0,0,23,170,192,1,105.62861050129868,129.61538415220275,131.9445059998543,
armbench.pi05_libero_independent_clock.v1,libero_object__task_007__episode_00,libero_object,7,0,pick up the milk and place it in the basket,7,True,task_success,be9da6954db0d20c166e07979b986576ecee350c69b36c53369bb8c284c04698,10,135,11.483850689000974,1,2197,True,135,84,83,50,83,0,0,17,118,133,1,106.96308700426016,129.97542619996238,138.0412360012997,
armbench.pi05_libero_independent_clock.v1,libero_object__task_007__episode_01,libero_object,7,1,pick up the milk and place it in the basket,7,True,task_success,6fcead502be7ed05601c3f67dcfb92bc24717097637837375fc234e6130f4080,10,139,11.731005077999725,1,2270,True,139,87,86,52,86,0,0,17,122,136,1,106.68022850222769,129.26127100035956,132.83662700268906,
armbench.pi05_libero_independent_clock.v1,libero_object__task_007__episode_02,libero_object,7,2,pick up the milk and place it in the basket,7,True,task_success,4d5bc4984232d9330138f352a1b84467ce2903521c4fc2d3b7d32ba911fb26b7,10,138,11.637610669000424,1,2343,True,138,86,85,52,85,0,0,19,119,137,1,107.32647900294978,129.4428544046241,138.08954499836545,
armbench.pi05_libero_independent_clock.v1,libero_object__task_007__episode_03,libero_object,7,3,pick up the milk and place it in the basket,7,True,task_success,47fd9b08dfb05a78d8c23dcf12c992bb8828014bcdd809257b3368ae56ef54f6,10,177,13.413172507003765,1,2416,True,177,111,110,65,110,0,0,21,156,174,1,107.34052049883758,129.40141024846525,132.88055299926782,
armbench.pi05_libero_independent_clock.v1,libero_object__task_008__episode_00,libero_object,8,0,pick up the chocolate pudding and place it in the basket,7,True,task_success,1ba0fbf510d588435903ee136ac5667858a76c8e418a79086b5c00ee539ed627,10,143,11.793300020995957,1,2489,True,143,89,88,53,88,0,0,15,128,141,1,106.03235050075455,127.59945740035619,129.52549700275995,
armbench.pi05_libero_independent_clock.v1,libero_object__task_008__episode_01,libero_object,8,1,pick up the chocolate pudding and place it in the basket,7,True,task_success,7ba8ae3535604d680fa09358fad1bc2c27e1cdb4a8ad1cb135090277ba5734d8,10,151,12.064015007999842,1,2562,True,151,94,93,56,93,0,0,16,135,149,1,105.49042399361497,126.89215820282698,131.4219679989037,
armbench.pi05_libero_independent_clock.v1,libero_object__task_008__episode_02,libero_object,8,2,pick up the chocolate pudding and place it in the basket,7,True,task_success,d7b1a89b2b16e02e56380b1e472d9154974c6f4e0271fc8fa8ca70c23441a75d,10,160,12.454734824998013,1,2635,True,160,99,98,60,98,0,0,22,138,155,1,107.85629699967103,130.77101884955482,133.18689500010805,
armbench.pi05_libero_independent_clock.v1,libero_object__task_008__episode_03,libero_object,8,3,pick up the chocolate pudding and place it in the basket,7,True,task_success,94ab7e73255c3047b4813d5723b8db05a5d64db20646ed6eb5ee46f656fa89b1,10,150,11.9575123839968,1,2708,True,150,93,92,56,92,0,0,20,130,147,1,106.26928549754666,129.70941090388806,132.15924399992218,
armbench.pi05_libero_independent_clock.v1,libero_object__task_009__episode_00,libero_object,9,0,pick up the orange juice and place it in the basket,7,True,task_success,95ef4c33aca066aec01083f4802b82c09643c9253620e93c9e65cc7f23143717,10,156,12.307783026000834,1,2781,True,156,98,97,57,97,0,0,17,139,153,1,106.3220750002074,130.14372780307895,131.54966100410093,
armbench.pi05_libero_independent_clock.v1,libero_object__task_009__episode_01,libero_object,9,1,pick up the orange juice and place it in the basket,7,True,task_success,6ddf45d6e838141d49d2f3ad25fc37f403b136bb22bd256bb642bba41595660e,10,133,11.179443569999421,1,2854,True,133,83,82,49,82,0,0,16,117,131,1,107.71154049507459,130.6899010505731,132.69963900529547,
armbench.pi05_libero_independent_clock.v1,libero_object__task_009__episode_02,libero_object,9,2,pick up the orange juice and place it in the basket,7,True,task_success,3b3c48cd2ba97fb8fb5f05626d92522020100db34c029468514966f5ba5ec916,10,150,12.126107481999497,1,2927,True,150,94,93,56,93,0,0,18,132,148,1,106.8611420050729,128.37352019851096,133.174691000022,
armbench.pi05_libero_independent_clock.v1,libero_object__task_009__episode_03,libero_object,9,3,pick up the orange juice and place it in the basket,7,False,max_ticks,f05d929bad3806487494f81ce397def5343fbd981129e3e10576e0e44e992cc1,10,280,18.767294137993304,1,3000,True,280,175,174,105,174,0,0,34,246,277,1,106.04720300398185,130.27913975020056,133.26062299893238,videos/libero_object__task_009__episode_03.mp4
