scenario,clearance_mm,planner,seed,status,elapsed_ms,iterations,nodes,configuration_queries,edge_queries,raw_path_length_rad,smoothed_path_length_rad,exact_mesh_valid,detail
single_block,0,rrt_connect,0,success,19.035299999814015,13,24,243,48,4.5160341749493975,3.846339901281834,True,
single_block,0,rrt_connect,1,success,15.48709999769926,7,16,170,32,3.5030317105719764,3.0448013023153586,True,
single_block,0,rrt_connect,2,success,33.1343000070774,42,29,393,83,4.769912044691119,3.601811954905068,True,
single_block,0,rrt_connect,3,success,16.56609999918146,17,18,213,44,3.531590651131694,3.2218656989411243,True,
single_block,0,rrt_connect,4,success,21.982199999911245,21,22,264,55,4.602627022476473,3.031969022620378,True,
single_block,0,rrt_connect,5,success,25.562700000591576,30,23,307,66,5.043012349115629,3.7351785135165847,True,
single_block,0,rrt_connect,6,success,147.87059999798657,132,103,1156,253,6.851839870573247,5.031270655589555,True,
single_block,0,rrt_connect,7,success,39.49979999742936,46,36,401,94,4.694381900811432,3.341093792385726,True,
single_block,0,rrt_connect,8,success,20.054200002050493,14,17,229,42,4.255719073359475,3.546603102496911,True,
single_block,0,rrt_connect,9,success,32.993499997246545,33,34,364,80,5.0220965345210775,3.8605624695254734,True,
single_block,0,rrt_star,0,timeout,2002.787500001432,616,521,15630,1350,,,,
single_block,0,rrt_star,1,success,226.13389999605715,107,96,2871,246,3.319267337987852,3.2823404950086754,True,
single_block,0,rrt_star,2,timeout,2000.4763000033563,655,541,16422,1449,,,,
single_block,0,rrt_star,3,success,357.2945000050822,173,152,5050,413,3.856941498386063,3.793121598963905,True,
single_block,0,rrt_star,4,success,168.95230000227457,106,92,2586,230,3.4327232984706813,3.4327232984706813,True,
single_block,0,rrt_star,5,timeout,2003.541400001268,628,522,16438,1458,,,,
single_block,0,rrt_star,6,success,293.1453000055626,136,118,3894,377,3.567372575752544,3.567372575752544,True,
single_block,0,rrt_star,7,timeout,2003.3576999994693,641,530,16201,1420,,,,
single_block,0,rrt_star,8,success,57.7119000008679,39,34,918,102,2.9916921841121313,2.969866756331721,True,
single_block,0,rrt_star,9,timeout,2003.9958999986993,629,527,16057,1417,,,,
single_block,20,rrt_connect,0,success,69.42079999862472,79,65,754,167,8.501069106264792,5.123398893212114,True,
single_block,20,rrt_connect,1,success,12.817100003303494,7,15,154,30,3.4629756610427593,3.234013288725298,True,
single_block,20,rrt_connect,2,success,50.37319999973988,59,36,481,110,5.640162152835453,3.8686483200657835,True,
single_block,20,rrt_connect,3,success,18.001899996306747,18,18,208,45,3.55258928346547,3.1635425543176376,True,
single_block,20,rrt_connect,4,success,21.215699998720083,21,19,231,51,4.497680785380747,3.264258749574229,True,
single_block,20,rrt_connect,5,success,128.35429999540793,139,99,1142,264,9.696698519325219,5.869183494202572,True,
single_block,20,rrt_connect,6,success,117.14260000007926,132,96,1116,245,6.535005775585254,4.6094303000326775,True,
single_block,20,rrt_connect,7,success,40.01319999952102,46,36,431,93,4.3957249329885215,3.434237621323362,True,
single_block,20,rrt_connect,8,success,14.64480000140611,15,16,197,41,4.045849238542103,3.309773717779008,True,
single_block,20,rrt_connect,9,success,20.182100000965875,17,22,242,49,4.0384309519953785,3.4726302764225547,True,
single_block,20,rrt_star,0,timeout,2003.1699000028311,616,521,15639,1372,,,,
single_block,20,rrt_star,1,success,95.96349999628728,38,37,1017,108,3.5888169257978486,3.5888169257978486,True,
single_block,20,rrt_star,2,timeout,2000.0635999967926,597,492,14980,1310,,,,
single_block,20,rrt_star,3,timeout,2004.5507999966503,591,479,14934,1334,,,,
single_block,20,rrt_star,4,timeout,2002.372800001467,618,518,15110,1323,,,,
single_block,20,rrt_star,5,timeout,2004.7985999990487,661,540,15634,1419,,,,
single_block,20,rrt_star,6,success,158.88339999946766,87,74,2351,260,4.103385802091005,4.046053930805195,True,
single_block,20,rrt_star,7,success,98.19939999579219,61,52,1497,145,3.5903154691943784,3.590315469194378,True,
single_block,20,rrt_star,8,success,54.64300000312505,39,34,878,115,3.1560492742630846,3.1560492742630846,True,
single_block,20,rrt_star,9,timeout,2001.777999998012,639,519,16502,1474,,,,
narrow_gate,0,rrt_connect,0,success,26.262299994414207,23,31,345,69,5.689243047826752,3.8791977294299183,True,
narrow_gate,0,rrt_connect,1,success,21.348800000851043,27,26,304,64,4.216904609179099,3.820990106560769,True,
narrow_gate,0,rrt_connect,2,success,53.49440000281902,81,50,622,146,5.724523534504348,3.888930984262273,True,
narrow_gate,0,rrt_connect,3,success,17.16370000212919,17,18,203,44,3.5541209200737716,3.087928275909814,True,
narrow_gate,0,rrt_connect,4,success,51.167800003895536,58,47,548,123,6.815493116680549,4.250988783125394,True,
narrow_gate,0,rrt_connect,5,success,46.37450000154786,61,40,531,118,6.485174774905054,4.21094077873054,True,
narrow_gate,0,rrt_connect,6,success,61.75029999576509,65,54,657,141,8.2194371211033,4.774032715715037,True,
narrow_gate,0,rrt_connect,7,success,17.18990000517806,17,16,200,44,4.358441663022189,3.8239398386712296,True,
narrow_gate,0,rrt_connect,8,success,22.58379999693716,20,22,273,52,4.096711677353848,3.3910244330578014,True,
narrow_gate,0,rrt_connect,9,success,28.63979999528965,31,29,341,72,4.774549061498251,3.9815124911961144,True,
narrow_gate,0,rrt_star,0,timeout,2001.0668999966583,658,520,16421,1471,,,,
narrow_gate,0,rrt_star,1,success,66.99400000070455,36,36,1073,103,3.53200429394405,3.5091157669610826,True,
narrow_gate,0,rrt_star,2,timeout,2000.5923000062467,643,528,16264,1519,,,,
narrow_gate,0,rrt_star,3,timeout,2003.3368000003975,648,510,16609,1469,,,,
narrow_gate,0,rrt_star,4,timeout,2002.612100004626,610,503,15018,1329,,,,
narrow_gate,0,rrt_star,5,timeout,2006.9379999986268,691,535,16439,1490,,,,
narrow_gate,0,rrt_star,6,timeout,2000.2415999988443,689,527,16396,1547,,,,
narrow_gate,0,rrt_star,7,success,42.23020000063116,31,25,712,114,3.748648146769283,3.748648146769283,True,
narrow_gate,0,rrt_star,8,timeout,2000.3537999946275,623,518,15489,1380,,,,
narrow_gate,0,rrt_star,9,timeout,2000.860100000864,651,511,15894,1456,,,,
narrow_gate,20,rrt_connect,0,success,31.73349999997299,23,29,331,67,5.620197944499358,4.726915449597136,True,
narrow_gate,20,rrt_connect,1,success,19.74490000429796,16,18,218,45,4.543568026796834,3.338129421823118,True,
narrow_gate,20,rrt_connect,2,success,73.88209999771789,58,39,517,114,6.584256704130466,4.5264075345883805,True,
narrow_gate,20,rrt_connect,3,success,20.094500003324356,17,16,194,41,3.498166841005512,3.3525951046383318,True,
narrow_gate,20,rrt_connect,4,success,26.475299993762746,22,19,259,53,4.689517345635805,3.5055364634908543,True,
narrow_gate,20,rrt_connect,5,success,80.06549999845447,93,52,735,167,8.217127153973232,5.348411881572292,True,
narrow_gate,20,rrt_connect,6,success,96.85029999673134,97,70,827,186,7.200062052032841,5.483046281830145,True,
narrow_gate,20,rrt_connect,7,success,36.66120000707451,55,23,350,89,4.418845743976409,3.870964301914448,True,
narrow_gate,20,rrt_connect,8,success,26.969099999405444,19,20,245,50,4.409438750750378,3.4488775257038498,True,
narrow_gate,20,rrt_connect,9,success,18.919499998446554,17,18,224,45,4.187023073908688,3.7494773847714744,True,
narrow_gate,20,rrt_star,0,success,1393.8660999992862,481,395,11939,1082,4.067256327131737,4.067256327131737,True,
narrow_gate,20,rrt_star,1,success,697.4849000034737,278,218,7136,654,4.363215416568274,4.194601861341987,True,
narrow_gate,20,rrt_star,2,timeout,2002.206600001955,616,500,15259,1381,,,,
narrow_gate,20,rrt_star,3,timeout,2001.3318999990588,725,546,16856,1568,,,,
narrow_gate,20,rrt_star,4,timeout,2000.7777999999234,631,523,15221,1395,,,,
narrow_gate,20,rrt_star,5,timeout,2004.2240999973728,667,543,16952,1524,,,,
narrow_gate,20,rrt_star,6,timeout,2004.7025000021677,692,537,16006,1491,,,,
narrow_gate,20,rrt_star,7,timeout,2002.0395000028657,668,545,16469,1548,,,,
narrow_gate,20,rrt_star,8,timeout,2003.7290999971447,667,544,16861,1526,,,,
narrow_gate,20,rrt_star,9,timeout,2000.542800000403,668,544,17002,1559,,,,
