schema_version,analysis_scope,task_suite,task_id,replan_steps,latency_steps,injected_latency_ms,paired_n,async_unguarded_n,async_unguarded_successes,async_unguarded_success_rate,latency_aligned_n,latency_aligned_successes,latency_aligned_success_rate,aligned_minus_async_success_rate_difference,async_unguarded_mean_policy_queries,latency_aligned_mean_policy_queries,aligned_minus_async_mean_policy_queries,async_unguarded_runtime_failures,latency_aligned_runtime_failures
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,0,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,18.0,18.4,0.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,0,5,2,100.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,23.8,12.4,-11.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,0,5,4,200.0,5,5,1,0.2,5,5,1.0,0.8,24.0,10.6,-13.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,1,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,21.2,21.6,0.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,1,5,2,100.0,5,5,3,0.6,5,5,1.0,0.4,25.0,16.0,-9.0,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,1,5,4,200.0,5,5,1,0.2,5,5,1.0,0.8,23.8,13.6,-10.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,2,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,21.2,21.0,-0.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,2,5,2,100.0,5,5,5,1.0,5,5,1.0,0.0,17.8,15.0,-2.8,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,2,5,4,200.0,5,5,2,0.4,5,5,1.0,0.6,21.6,12.2,-9.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,3,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,17.4,17.4,0.0,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,3,5,2,100.0,5,5,3,0.6,5,4,0.8,0.20000000000000007,24.0,16.8,-7.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,3,5,4,200.0,5,5,2,0.4,5,5,1.0,0.6,23.0,10.4,-12.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,4,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,28.4,26.0,-2.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,4,5,2,100.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,23.6,19.4,-4.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,4,5,4,200.0,5,5,1,0.2,5,5,1.0,0.8,23.6,15.0,-8.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,5,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,19.6,19.2,-0.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,5,5,2,100.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,21.8,14.2,-7.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,5,5,4,200.0,5,5,0,0.0,5,5,1.0,1.0,25.0,11.4,-13.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,6,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,22.0,20.8,-1.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,6,5,2,100.0,5,5,5,1.0,5,5,1.0,0.0,17.8,15.2,-2.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,6,5,4,200.0,5,5,5,1.0,5,5,1.0,0.0,18.2,13.0,-5.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,7,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,23.8,24.2,0.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,7,5,2,100.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,21.8,17.8,-4.0,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,7,5,4,200.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,21.4,15.2,-6.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,8,5,0,0.0,5,5,5,1.0,5,5,1.0,0.0,20.2,22.4,2.2,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,8,5,2,100.0,5,5,5,1.0,5,5,1.0,0.0,19.0,14.6,-4.4,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,8,5,4,200.0,5,5,1,0.2,5,5,1.0,0.8,25.0,12.0,-13.0,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,9,5,0,0.0,5,5,4,0.8,5,5,1.0,0.19999999999999996,29.6,24.0,-5.6,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,9,5,2,100.0,5,5,4,0.8,5,4,0.8,0.0,23.4,20.4,-3.0,0,0
armbench.pi05_libero_latency_aligned_analysis.v1,descriptive_only_no_task_level_inference,libero_spatial,9,5,4,200.0,5,5,1,0.2,5,5,1.0,0.8,24.0,14.8,-9.2,0,0
