schema_version,scope,task_suite,task_id,selected_task_count,suite_task_count,suite_coverage_complete,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,rollouts,eligible_rollouts,successes,success_rate,success_wilson95_low,success_wilson95_high,per_protocol_successes,per_protocol_success_rate,per_protocol_wilson95_low,per_protocol_wilson95_high,mean_policy_queries,mean_rejections,mean_stale_action_steps,mean_environment_steps,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,excluded_per_protocol_failures,policy_contract_failures,policy_timeout_failures,all_recorded_failures,excluded_failure_categories
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,async_unguarded,5,4,200.0,,20,20,5,0.25,0.11186170140766569,0.468700877618744,5,0.25,0.11186170140766569,0.468700877618744,24.25,0.0,117.1,224.1,81.01643400004832,83.41319440223742,58.04440300198621,58.3416313987982,80.20354799737106,82.35708419888397,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,latency_aligned,5,4,200.0,,20,20,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,13.8,0.0,65.25,129.65,81.16460449855367,84.52138124903286,58.068762000402785,58.43391899816197,80.30168450022757,83.36025924836576,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.42536000013934,84.05664690108097,58.13138650046312,58.49575305037433,80.59457049967023,83.11192510009278,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,11.5,0.0,52.5,106.5,81.31182699798956,83.8226173993462,58.14853700212552,58.291696799278725,80.32869800081244,82.70077179913642,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,1,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.29633749922505,83.9402940015134,58.21570750049432,58.46892870049487,80.46112899864966,82.89941334987816,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,1,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,17.5,0.0,82.5,162.0,81.41028199679567,86.53605919971596,58.21279399970081,58.39199520087277,80.47149699996226,85.4434033997677,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,2,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.3303504983196,83.4976499005279,58.0655960002332,58.32860995142255,80.43658350106853,82.51143009892985,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,2,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,20.5,0.0,97.5,188.5,83.10530100061442,85.51703999910387,58.21759600075893,58.563760001561604,82.07934500023839,84.37677200345206,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,3,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,24.0,0.0,117.0,223.0,81.06966049854236,83.6570399993434,58.045098499860615,58.46848590135778,80.19225200041546,82.51362010123557,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,3,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,10.0,0.0,46.5,96.5,81.42524899994896,82.33593459954136,58.034968498759554,58.15797629857116,80.34144699922763,81.2771471491942,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,4,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,24.5,0.0,119.5,227.5,81.20893399973284,83.6175413998717,58.03036400175188,58.37646380023216,80.33818100011558,82.46873859970947,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,4,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,15.5,0.0,72.5,142.5,81.46493899766938,83.41416450093675,58.03124000158277,58.30271199920389,80.5430479995266,82.47846400081471,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,5,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,80.87660700039123,82.71173659923079,58.02098599997407,58.26188535174879,80.07027200073935,81.71045105045778,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,5,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,11.0,0.0,52.0,106.0,80.99748449967592,82.03170514880185,58.056818999830284,58.16719894828566,80.20279250013118,80.90225335163268,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,6,10,10,True,async_unguarded,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,19.5,0.0,96.5,184.5,80.93146100145532,82.54623930224625,58.0348799994681,58.162390099460026,80.17403399935574,81.52273680061626,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,6,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,12.5,0.0,59.5,119.0,80.77127700016717,82.27666079983464,58.02551899978425,58.149843598221196,79.97007900121389,81.34523800108582,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,7,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,80.84731949929846,82.36148414871423,58.02186700020684,58.120846449128294,80.06539350026287,81.45494685068115,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,7,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,14.0,0.0,66.5,132.0,80.8038690011017,82.19800245024089,57.98506749852095,58.12811044888804,80.00370050103811,81.32130564863473,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,8,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,24.5,0.0,118.0,226.0,80.8501490027993,82.0827672003361,58.00700999679975,58.14212940167636,80.03973900122219,81.14234539825702,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,8,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,11.5,0.0,55.0,109.5,80.94789300230332,82.01595829814323,58.0338430008851,58.13622929927078,80.11976899797446,81.00601770020148,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,9,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,80.70170050086745,82.11936865154712,57.99432900130341,58.06487195095542,79.91792800021358,81.17586924909119,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,9,10,10,True,latency_aligned,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,14.0,0.0,68.0,134.0,80.72548550080683,81.86700950009254,58.016968998344964,58.18276789996162,79.92231949901907,80.76865840066603,0,0,0,0,[]
