pair_id,task_suite,task_id,episode_index,replan_steps,seed,initial_state_sha256,async_success,aligned_success,success_difference,async_policy_queries,aligned_policy_queries,policy_queries_difference,async_accepted_chunks,aligned_accepted_chunks,accepted_chunks_difference,async_rejected_chunks,aligned_rejected_chunks,rejected_chunks_difference,async_interventions,aligned_interventions,interventions_difference,async_deadline_misses,aligned_deadline_misses,deadline_misses_difference,async_horizon_overruns,aligned_horizon_overruns,horizon_overruns_difference,async_age_refreshes,aligned_age_refreshes,age_refreshes_difference,async_fallback_hold_steps,aligned_fallback_hold_steps,fallback_hold_steps_difference,async_simulated_catchup_steps,aligned_simulated_catchup_steps,simulated_catchup_steps_difference
libero_spatial/task_000/episode_005/h_05/l_000,libero_spatial,0,5,5,7,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,True,True,0,14,9,-5,13,9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29,-14
libero_spatial/task_000/episode_006/h_05/l_000,libero_spatial,0,6,5,7,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,False,True,1,30,10,-20,30,10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,20,-53
libero_spatial/task_000/episode_007/h_05/l_000,libero_spatial,0,7,5,7,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,True,True,0,27,10,-17,27,10,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27,-40
libero_spatial/task_000/episode_008/h_05/l_000,libero_spatial,0,8,5,7,d14dac54e6f5c9da2e1288dd1450759f9753f25bbd26d827096c8ff470cc2ea7,True,True,0,24,11,-13,24,10,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,-29
libero_spatial/task_000/episode_009/h_05/l_000,libero_spatial,0,9,5,7,dedf472d52af354a3fdb19168d6c8b7afce8267b3b7432844dd893e22f01f7cb,False,True,1,30,11,-19,30,11,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,21,-49
libero_spatial/task_000/episode_010/h_05/l_000,libero_spatial,0,10,5,7,5364af5c17f81fed3c6bd09d01d0a4b9cb85a949a91d4701581293650ea03466,True,True,0,23,10,-13,23,9,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,25,-28
libero_spatial/task_000/episode_011/h_05/l_000,libero_spatial,0,11,5,7,2a846c19fdf760726a523194c12f0325979e743ed1018ebaf05f15bbd2718251,True,True,0,17,10,-7,16,9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,21,-21
libero_spatial/task_000/episode_012/h_05/l_000,libero_spatial,0,12,5,7,640d0968ff6ebb1f7a4bedfbbcfab723c3dd66877d203f6126531c3f3b614a36,True,True,0,26,10,-16,26,10,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,-45
libero_spatial/task_000/episode_013/h_05/l_000,libero_spatial,0,13,5,7,8e7b35e0100665e0256054e9de01a627ac9245806c58c00670a53db642d355eb,False,True,1,30,19,-11,29,18,-11,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,75,47,-28
libero_spatial/task_000/episode_014/h_05/l_000,libero_spatial,0,14,5,7,5ba3c9c89ddb35c831dc57c7b35d00830021b4e2fe89594d184deb95425d0b4f,True,True,0,14,10,-4,14,10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,-6
