omitted_task_suite,omitted_task_id,remaining_tasks,remaining_pairs,candidate_wins,reference_wins,ties,risk_difference
libero_spatial,0,9,108,28,4,76,0.2222222222222222
libero_spatial,1,9,108,31,4,73,0.25
libero_spatial,2,9,108,32,4,72,0.25925925925925924
libero_spatial,3,9,108,29,3,76,0.24074074074074073
libero_spatial,4,9,108,27,4,77,0.21296296296296297
libero_spatial,5,9,108,23,4,81,0.17592592592592593
libero_spatial,6,9,108,32,4,72,0.25925925925925924
libero_spatial,7,9,108,31,3,74,0.25925925925925924
libero_spatial,8,9,108,28,4,76,0.2222222222222222
libero_spatial,9,9,108,27,2,79,0.23148148148148148
