task_suite,task_id,pairs,async_successes,async_success_rate,aligned_successes,aligned_success_rate,candidate_wins,reference_wins,ties,risk_difference
libero_spatial,0,12,8,0.6666666666666666,12,1.0,4,0,8,0.3333333333333333
libero_spatial,1,12,11,0.9166666666666666,12,1.0,1,0,11,0.08333333333333333
libero_spatial,2,12,12,1.0,12,1.0,0,0,12,0.0
libero_spatial,3,12,9,0.75,11,0.9166666666666666,3,1,8,0.16666666666666666
libero_spatial,4,12,7,0.5833333333333334,12,1.0,5,0,7,0.4166666666666667
libero_spatial,5,12,3,0.25,12,1.0,9,0,3,0.75
libero_spatial,6,12,12,1.0,12,1.0,0,0,12,0.0
libero_spatial,7,12,11,0.9166666666666666,11,0.9166666666666666,1,1,10,0.0
libero_spatial,8,12,8,0.6666666666666666,12,1.0,4,0,8,0.3333333333333333
libero_spatial,9,12,7,0.5833333333333334,10,0.8333333333333334,5,2,5,0.25
