schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,mode,latency_source,replan_steps,latency_steps,query_index,observation_step,response_step,observation_captured_monotonic_ns,policy_call_started_monotonic_ns,policy_call_finished_monotonic_ns,response_ready_monotonic_ns,clock_trace_complete,observation_age_ms,inference_latency_ms,response_delivery_elapsed_ms,policy_inference_latency_ms,server_inference_latency_ms,response_jitter_requested_ms,jitter_key_sha256,completed_controller_steps,simulated_catchup_steps,action_chunk_steps,measured_stale_steps,action_offset_steps,selected_stop_step,available_suffix_steps,deadline_exceeded,horizon_overrun,age_refresh_index,fallback_hold_steps,alignment_disposition,alignment_reason,accepted,decision,rejection_reasons,position_mismatch_m,orientation_mismatch_rad,gripper_mismatch_linf,error_stage,error_type,error_message
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,0,10,13,17482252619138,17482255156723,17482340169874,17482420324314,True,167.70517600161838,85.01315100147622,80.15443999829586,58.69835900011822,83.6355649989855,80.0,498c2863139b174a39818b8c09d4dc62a12ff7fac78850706a7205c8c688fee7,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,0.00010045792946513638,0.001483559532913814,0.00023896091335150887,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,1,18,22,17482606312848,17482608858325,17482691522664,17482851769733,True,245.45688500074903,82.6643390028039,160.24706899770536,58.67087300066487,81.49708400014788,160.0,d999e6ecaa00650ba8bf54f8708393976c9bb03f69bd9f68a5dcc524348505d8,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.04442890649933968,0.0212463375006134,0.00013814434570384032,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,2,27,29,17483061696869,17483064199750,17483147803015,17483187936572,True,126.23970300046494,83.60326500041992,40.13355700226384,58.63126300027943,82.55194000230404,40.0,536b3f863d6046c9400967195028c8571dc1615928825ba52ce52dfaab04cf31,2,2,10,3,0,8,7,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.0268006672287041,0.00581777132076415,4.906280797770807e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,3,34,38,17483351614849,17483354117268,17483437941914,17483598181748,True,246.56689899711637,83.82464599708328,160.23983400009456,58.42441999993753,82.82809600132168,160.0,0a0669aae0344bf3e80fd555942bbc8a8ba8030dc6abd7757f740837c1e5ae6f,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.06348114351350403,0.02438276882461436,6.802482833094536e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,4,43,44,17483805594360,17483808106286,17483891557154,17483891599694,True,86.00533400021959,83.45086799818091,0.04254000305081718,58.389180998347,82.42271600101958,0.0,e05f9d9878618430514055d240812cc7c957ed153309953b05a441e603174085,1,1,10,2,0,7,8,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.01191782348459762,0.009092097952024538,1.2384308693838553e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,5,49,53,17484031275533,17484033998108,17484119475900,17484279725222,True,248.44968899924424,85.47779199943761,160.24932200161857,58.41422199955559,84.40528899882338,160.0,819e66fc59150943f40d8e11dc85a5141952209fc6a8bf040d82225a1163a32e,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.048574789177145715,0.011230488581497724,3.9236989959737234e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,6,58,61,17484539343730,17484541896190,17484624652644,17484704810566,True,165.46683599881362,82.75645400135545,80.1579219987616,58.46955200104276,81.72367600127473,80.0,a4b432bea3fc3462edcd8b45c4d300629253fed699bfd2d3ccab061d9fb02907,3,3,10,4,0,9,6,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,,0.004666741960129892,0.08169290920593972,0.0001415774572325404,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,7,66,70,17484961767340,17484964359911,17485047615841,17485207862802,True,246.0954620000848,83.25592999972287,160.2469610006665,58.369448997837026,82.07692499854602,160.0,4e51f15ca07bb49b7fc6b07301f1756f7ccd71d04df9d3a505b21ddc7a3f21a6,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.010832687486817994,0.04153271150099204,0.024052938257270853,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,8,75,79,17485449975689,17485452492410,17485536787474,17485697036527,True,247.06083799901535,84.29506399988895,160.24905299855163,58.386014999996405,83.07100100137177,160.0,8101bca90c5bca5bba19f3cb2fd5aa7b3bc79c7cf1772ec82a0012a173fe8355,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.014393780880155442,0.03167067950292306,0.0024602115013251467,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,9,84,88,17485929002094,17485931604077,17486013558812,17486173798018,True,244.7959240016644,81.95473500018124,160.23920600127894,58.237335997546325,80.92631900217384,160.0,3280d39a1c64c913732f3f22117d88177090937254fe69dc5b1782ca65ff7c3a,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.037570405364365955,0.07371755251378935,1.029663586577705e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,10,93,95,17486395866424,17486398384521,17486480364641,17486520492809,True,124.6263849971001,81.98012000138988,40.12816799877328,58.328724997409154,80.96361899879412,40.0,5bd0b9401bad8ec900e4ef01cefc3b71a9bf7124cb107d935b925aa14e8c872d,2,2,10,3,0,8,7,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.02365233229106791,0.02505637034553307,4.476924930997463e-06,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,11,100,104,17486692045744,17486694611537,17486776686536,17486936927794,True,244.88204999943264,82.07499899799586,160.2412579995871,58.30914300167933,80.95248400059063,160.0,b3ac28e0e64ccf4b2880e81c72a457973453eb3a000c0cfb93a7de08568bc89c,4,4,10,5,0,10,5,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.040707113265937116,0.0824337748683417,6.397617640466983e-06,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,12,109,111,17487158072102,17487160559315,17487242555604,17487282685442,True,124.61333999817725,81.996288998198,40.12983799839276,58.34717499965336,80.71368599848938,40.0,27452c3c68a7e0c96b729a67a30d94502f0d8c60d3686ee1dac4792a3c0837a8,2,2,10,3,0,8,7,False,False,0,0,not_applied,async_unguarded,True,accepted_unguarded,position_mismatch,0.0209266416791891,0.025701081778944538,1.0723705906523148e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__async_unguarded,libero_spatial/task_000/episode_005/h_05/l_000,0,libero_spatial,0,5,async_unguarded,measured_wall,5,0,13,116,118,17487455253419,17487457829181,17487539811760,17487700053324,True,244.79990499821724,81.98257900221506,160.24156399726053,58.34297899855301,80.85804800066398,160.0,2fe80bc6af875b33fd23147d00f31fa17be1f81df5e377b9ff86cfbb93b7120e,4,2,10,5,0,10,5,False,False,0,0,terminal_before_dispatch,success_during_inference_delay,False,success_during_inference_delay,,0.024434066539898786,0.03068796302779377,0.0001968503938977002,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,0,10,13,17489268116979,17489270689194,17489354997245,17489435163791,True,167.04681199917104,84.30805099851568,80.16654600214679,58.526046999759274,82.81128300222917,80.0,498c2863139b174a39818b8c09d4dc62a12ff7fac78850706a7205c8c688fee7,3,3,10,4,4,9,6,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,,0.00010045792946513638,0.001483559532913814,0.00023896091335150887,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,1,18,22,17489620029992,17489622600670,17489705066612,17489865312921,True,245.28292900140514,82.46594199954416,160.2463089984667,58.52144600066822,81.3810330000706,160.0,d999e6ecaa00650ba8bf54f8708393976c9bb03f69bd9f68a5dcc524348505d8,4,4,10,5,5,10,5,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.05109134224123835,0.018039138760408774,0.00013603691134286833,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,2,27,29,17490073503523,17490076131189,17490158538295,17490198669315,True,125.16579200018896,82.40710600148304,40.131019999535056,58.36005099990871,81.29035599995404,40.0,536b3f863d6046c9400967195028c8571dc1615928825ba52ce52dfaab04cf31,2,2,10,3,3,8,7,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.02882125018303601,0.01311164877380649,4.627041444771329e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,3,34,38,17490361082557,17490363604118,17490446266579,17490606504031,True,245.42147399915848,82.66246100174612,160.23745199709083,58.54794499828131,81.64389400189975,160.0,0a0669aae0344bf3e80fd555942bbc8a8ba8030dc6abd7757f740837c1e5ae6f,4,4,10,5,5,10,5,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.05198740331913326,0.025367701428181434,6.853426621412917e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,4,43,44,17490813760305,17490816336405,17490898702238,17490898743251,True,84.98294599849032,82.36583299731137,0.04101300146430731,58.49438200311852,81.40041899969219,0.0,e05f9d9878618430514055d240812cc7c957ed153309953b05a441e603174085,1,1,10,2,2,7,8,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.013063672329546165,0.009519541507442735,1.3758571174457557e-05,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,5,49,53,17491040459096,17491042954878,17491124481036,17491284721347,True,244.2622510025103,81.5261579991784,160.2403110009618,58.10920600197278,80.56117399974028,160.0,819e66fc59150943f40d8e11dc85a5141952209fc6a8bf040d82225a1163a32e,4,4,10,5,5,10,5,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.012642145852522062,0.006055677986182984,0.01809115566173864,,,
armbench.pi05_libero_measured_age.v2,libero_spatial__task_000__episode_005__h_05__l_000__latency_aligned,libero_spatial/task_000/episode_005/h_05/l_000,1,libero_spatial,0,5,latency_aligned,measured_wall,5,0,6,58,61,17491526317256,17491528849847,17491611353470,17491691513749,True,165.19649299880257,82.5036230016849,80.16027899793698,58.23014000270632,81.52026899915654,80.0,a4b432bea3fc3462edcd8b45c4d300629253fed699bfd2d3ccab061d9fb02907,3,3,10,4,4,9,6,False,False,0,0,execute,fresh_suffix_available,True,accepted_measured_latency_aligned,position_mismatch,0.026513595699773844,0.04586778128223414,0.000994371273586851,,,
