pair_id,task_suite,task_id,episode_index,replan_steps,seed,initial_state_sha256,async_success,aligned_success,success_difference,async_policy_queries,aligned_policy_queries,policy_queries_difference,async_accepted_chunks,aligned_accepted_chunks,accepted_chunks_difference,async_rejected_chunks,aligned_rejected_chunks,rejected_chunks_difference,async_interventions,aligned_interventions,interventions_difference,async_deadline_misses,aligned_deadline_misses,deadline_misses_difference,async_horizon_overruns,aligned_horizon_overruns,horizon_overruns_difference,async_age_refreshes,aligned_age_refreshes,age_refreshes_difference,async_fallback_hold_steps,aligned_fallback_hold_steps,fallback_hold_steps_difference,async_simulated_catchup_steps,aligned_simulated_catchup_steps,simulated_catchup_steps_difference
libero_spatial/task_000/episode_000/h_05/l_000,libero_spatial,0,0,5,7,a6db032a71041791fbc1abf677d4c70813c24c8a608bd77e606c5a5516596950,True,True,0,21,14,-7,20,14,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,-17
libero_spatial/task_000/episode_001/h_05/l_000,libero_spatial,0,1,5,7,278492f91da9db900616fd988bf35ccda53896ced8ca433dde3c9dca18d55de9,False,True,1,31,15,-16,31,15,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,34,-34
libero_spatial/task_001/episode_000/h_05/l_000,libero_spatial,1,0,5,7,37dfcc9def4feae74fa2bb09d7c2338ca4f501463c28d175e25a3119d01eebaf,True,True,0,26,16,-10,26,16,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,32,-18
libero_spatial/task_001/episode_001/h_05/l_000,libero_spatial,1,1,5,7,038481525d636074482f6eb1fdd54e0b4b62a0232875c77184fc78f436de04c7,False,True,1,30,14,-16,29,13,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32,-43
libero_spatial/task_002/episode_000/h_05/l_000,libero_spatial,2,0,5,7,149d26b8f163da15e9580b76568baf6effd9a55e60ab407c53aa01ee3a8223b7,True,True,0,19,15,-4,18,14,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,38,-8
libero_spatial/task_002/episode_001/h_05/l_000,libero_spatial,2,1,5,7,10dff1a03dc73d7a05d9ea0670467a3d4936ec49dc8b8af0df964109940911ed,True,True,0,18,14,-4,17,14,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,-11
libero_spatial/task_003/episode_000/h_05/l_000,libero_spatial,3,0,5,7,63e3f2e0b980d79c6d974bb7d9d537d1997a100670f27bbff2946a11cfa0b635,True,True,0,20,12,-8,20,12,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,-19
libero_spatial/task_003/episode_001/h_05/l_000,libero_spatial,3,1,5,7,1389df4eaca7a1a74b8dd5364347e0d749d1bed10a58143e39be03fc0ab82f41,True,True,0,19,11,-8,18,10,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,-22
libero_spatial/task_004/episode_000/h_05/l_000,libero_spatial,4,0,5,7,1bec82314760dc1015377b8cebf3627af0020e1c7ce928989a7d6fdc8679649a,True,True,0,19,15,-4,18,14,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,42,-13
libero_spatial/task_004/episode_001/h_05/l_000,libero_spatial,4,1,5,7,edb02423af27fd85edc08731a8438e5f3de8dd2454592461a4a8824a3c2db194,False,True,1,31,17,-14,30,17,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,38,-32
libero_spatial/task_005/episode_000/h_05/l_000,libero_spatial,5,0,5,7,50a2e023070589c05828b0773b9013c33931872a1128e2a5498b6d5c9a6199d9,False,True,1,32,15,-17,32,15,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,22,-42
libero_spatial/task_005/episode_001/h_05/l_000,libero_spatial,5,1,5,7,dc873b54c357efc1331f6ec3ecc0218451cfca3758a2c587bbcba01e3a152536,False,True,1,30,15,-15,30,15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,42,-32
libero_spatial/task_006/episode_000/h_05/l_000,libero_spatial,6,0,5,7,abd69b1a920e17fb71eb569ca0c4a65e9f2bd1d53a2afdc7534c5829689e8976,True,True,0,18,14,-4,18,14,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,-8
libero_spatial/task_006/episode_001/h_05/l_000,libero_spatial,6,1,5,7,c842084163bd41b0a713c483747fa948aa5cbdb179efa78042fb1b530996025e,True,True,0,20,18,-2,20,18,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,-7
libero_spatial/task_007/episode_000/h_05/l_000,libero_spatial,7,0,5,7,434eed2fc53c989bc732027e2f84ef9a6778a61afb39de34cda24d1f159d8a09,True,True,0,28,25,-3,28,24,-4,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,79,70,-9
libero_spatial/task_007/episode_001/h_05/l_000,libero_spatial,7,1,5,7,0faab8f1d5121884a8c839fc59a5111100899ae4005d45dd1692d6889126a437,True,True,0,22,15,-7,22,14,-8,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0,0,0,58,42,-16
libero_spatial/task_008/episode_000/h_05/l_000,libero_spatial,8,0,5,7,8068d59b815876257802ab742fa4e2de6d71c6a586bd9f7caaa9c9b5e1aad674,True,True,0,26,14,-12,26,14,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,30,-33
libero_spatial/task_008/episode_001/h_05/l_000,libero_spatial,8,1,5,7,ed054032f78e93494c20371c266b52960e374ca559b40fbcf24df71a2ca391ee,True,True,0,25,13,-12,24,13,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,30,-33
libero_spatial/task_009/episode_000/h_05/l_000,libero_spatial,9,0,5,7,c9cd63e8db66b8120a7182b36e737fa1631ce55c0e651422ce519134e8e94213,True,True,0,27,16,-11,27,15,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,40,-27
libero_spatial/task_009/episode_001/h_05/l_000,libero_spatial,9,1,5,7,07e7a6ab6a094320d90515beb1de90b6c7675ed513a4d70964147a87a95f455b,False,False,0,30,30,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0
