schema_version,scope,task_suite,task_id,selected_task_count,suite_task_count,suite_coverage_complete,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,rollouts,eligible_rollouts,successes,success_rate,success_wilson95_low,success_wilson95_high,per_protocol_successes,per_protocol_success_rate,per_protocol_wilson95_low,per_protocol_wilson95_high,mean_policy_queries,mean_rejections,mean_stale_action_steps,mean_environment_steps,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,excluded_per_protocol_failures,policy_contract_failures,policy_timeout_failures,all_recorded_failures,excluded_failure_categories
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,async_unguarded,5,4,200.0,,20,20,7,0.35,0.18119182410108206,0.5671457233147638,7,0.35,0.18119182410108206,0.5671457233147638,23.0,0.0,110.75,212.55,81.19161749891646,83.62301130182459,57.97276500197768,58.29100599949015,80.37481149949599,82.65760330032208,0,0,0,0,[]
armbench.pi05_libero_async.v1,selected_tasks,libero_spatial,,10,10,True,state_guard,5,4,200.0,,20,20,6,0.3,0.1454772448676043,0.5189728183535235,6,0.3,0.1454772448676043,0.5189728183535235,24.1,14.1,48.5,154.5,80.28528599970741,83.34253175125923,57.14640500082169,58.244243051194644,79.51891450102266,82.42113514988887,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,24.0,0.0,116.0,222.0,82.25863000006939,85.73550325108954,58.1746594998549,58.426939300807135,81.20047699958377,84.5147612004439,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,0,10,10,True,state_guard,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,23.0,13.5,45.0,145.5,81.02128249993257,83.39604874799988,57.96167849985068,58.266162000109034,80.17716699941957,82.40537974870676,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,1,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,24.5,0.0,117.5,224.5,81.81218200115836,84.82746680019773,58.167322000372224,58.367829400958726,80.86090900178533,83.44673420069739,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,1,10,10,True,state_guard,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,14.5,52.5,162.5,79.74771699809935,83.96564280046732,55.99593099941558,58.423054999730084,78.87431349990948,83.0402708517795,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,2,10,10,True,async_unguarded,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,16.5,0.0,80.0,156.0,81.67200200114166,83.09118419856532,58.04464899847517,58.22081279984559,80.65639800042845,81.99519599947962,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,2,10,10,True,state_guard,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,27.0,15.0,59.5,177.5,80.90667050237244,84.49434355006815,57.468696000796626,58.486531550261134,79.96550899952126,83.1742659509473,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,3,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.12900800006173,82.24028040185658,57.99472500075353,58.11511820065789,80.3137950006203,81.43433025052218,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,3,10,10,True,state_guard,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,11.0,7.5,17.5,71.5,79.44956100072886,83.3418927522871,55.99180900026113,58.148927499314595,78.67265549975855,82.50622400173597,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,4,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.09721299842931,82.45170340051118,57.90394350151473,58.01044109975919,80.37363400217146,81.30727874849981,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,4,10,10,True,state_guard,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,34.5,20.0,68.0,214.5,79.5347999992373,82.93039219861384,56.648608999239514,58.10443599912105,78.69544700224651,82.07812599939643,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,5,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,80.6875955004216,81.67319270214648,57.85138900137099,57.91963840001699,79.89985800122668,80.87086460018327,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,5,10,10,True,state_guard,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,32.5,18.5,67.5,207.5,80.4012269982195,83.0371804018796,57.838484997773776,58.05317739941529,79.62708799823304,82.22900240070885,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,6,10,10,True,async_unguarded,5,4,200.0,,2,2,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,16.5,0.0,79.0,154.0,80.785823000042,81.88988820038503,57.92865400144365,58.07033860037336,80.00020100007532,80.8590397995431,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,6,10,10,True,state_guard,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,10.0,7.0,15.0,65.0,80.06880249922688,81.25073370138125,57.53218999961973,58.012911301193526,79.39462049944268,80.31252470245818,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,7,10,10,True,async_unguarded,5,4,200.0,,2,2,0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,25.0,0.0,120.0,230.0,81.50323150039185,84.19945639925572,57.98522900113312,58.22476860030292,80.65227299994149,83.2031002988515,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,7,10,10,True,state_guard,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,34.0,17.5,77.5,222.5,80.59038650026196,82.78313855116721,57.90987399996084,58.239094801865576,79.76904250062944,81.72369955191243,0,0,0,0,[]
armbench.pi05_libero_async.v1,task,libero_spatial,8,10,10,True,async_unguarded,5,4,200.0,,2,2,1,0.5,0.09453120573423074,0.9054687942657693,1,0.5,0.09453120573423074,0.9054687942657693,23.5,0.0,115.0,219.0,80.8985389994632,82.29167139979836,57.882537999830674,58.02682229914353,80.11648899991997,81.27318879960512,0,0,0,0,[]
