schema_version,episode_id,pair_id,task_suite,task_id,episode_index,mode,replan_steps,latency_steps,fixed_refresh_interval,query_index,observation_step,response_step,inference_latency_ms,policy_inference_latency_ms,server_inference_latency_ms,injected_latency_steps_requested,injected_latency_steps_executed,action_chunk_steps,accepted,decision,rejection_reasons,position_mismatch_m,orientation_mismatch_rad,gripper_mismatch_linf,error_stage,error_type,error_message
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,0,10,14,18979.882119998365,18468.34099300031,18977.697874001024,4,4,10,True,accepted_unguarded,,0.00015065190695018733,0.000576751291468205,0.000282933846381464,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,1,19,23,83.57615700151655,58.287482999730855,82.28301300187013,4,4,10,True,accepted_unguarded,position_mismatch,0.030213000233773372,0.01722021604698311,0.00013431048653590738,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,2,28,32,82.27179700043052,58.105983000132255,81.07772099901922,4,4,10,True,accepted_unguarded,position_mismatch,0.05233433737085593,0.011656665160418363,9.254841042888318e-05,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,3,37,41,82.00332100022933,58.126441999775125,81.08533500126214,4,4,10,True,accepted_unguarded,position_mismatch,0.05594084026000894,0.011232990386893415,5.9589832781918595e-05,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,4,46,50,81.71839200076647,58.07461500080535,80.69391900062328,4,4,10,True,accepted_unguarded,position_mismatch,0.044508059075118935,0.012596688730374417,4.139465639314832e-05,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,5,55,59,82.20888800133253,58.09148600019398,81.18397799989907,4,4,10,True,accepted_unguarded,position_mismatch,0.05103730144131348,0.02085717042220762,0.0001818642461995923,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,6,64,68,83.58360800048104,58.229067999491235,82.57630799926119,4,4,10,True,accepted_unguarded,,0.005132335752457518,0.04356506101944817,0.00032378393406515965,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,7,73,77,82.96865699958289,58.245419000741094,81.75574399865582,4,4,10,True,accepted_unguarded,,0.0054752189977183615,0.0031693777351843896,0.02406616350802153,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,8,82,86,82.61745200070436,58.19900699862046,81.73845199780772,4,4,10,True,accepted_unguarded,position_mismatch,0.027983474608225055,0.035648064048519106,0.0006430456586966951,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,9,91,95,83.8188160014397,58.23233299815911,82.65760100039188,4,4,10,True,accepted_unguarded,position_mismatch,0.04166919632693007,0.05887487058937606,0.00014272194816039227,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,10,100,104,82.52690099834581,58.29699800233357,81.48518199959653,4,4,10,True,accepted_unguarded,position_mismatch,0.01463358328507689,0.06388025246616677,7.991287936113406e-05,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,11,109,113,81.58902499781107,58.18067899963353,80.71975200073211,4,4,10,True,accepted_unguarded,position_mismatch,0.05779013459570341,0.0165362608923906,0.01890734997016423,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,12,118,122,86.11901400217903,58.49368999770377,84.91701200182433,4,4,10,True,accepted_unguarded,,0.0031201497581657286,0.0800454230604382,7.57792896654702e-05,,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_045__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_045/h_05/l_004,libero_spatial,0,45,async_unguarded,5,4,,13,127,131,84.94940799937467,58.24451000080444,83.60790399819962,4,4,10,True,accepted_unguarded,,0.005647100312656191,0.03979599326463018,0.02320474628166757,,,
