schema_version,episode_id,task_suite,task_id,episode_index,task_description,seed,task_success,termination_reason,initial_state_sha256,stabilization_steps,task_steps,wall_time_s,parent_process_id,worker_process_id,worker_stopped,submitted_requests,started_requests,completed_requests,superseded_requests,accepted_responses,failed_responses,deadline_exceeded_responses,hold_ticks,execute_ticks,ticks_during_inference,tick_overruns,response_age_p50_ms,response_age_p95_ms,response_age_max_ms,video_path
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_00,libero_object,0,0,pick up the alphabet soup and place it in the basket,8,False,max_ticks,1c42589e6fcbe5a26c844edf29a2a787544e53fbc7717f3700eec952b4d97d13,10,280,23.477794006990734,1,158,True,280,175,174,104,174,0,0,207,73,277,1,107.29267450369662,130.36960079552955,133.545442004106,videos/libero_object__task_000__episode_00.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_01,libero_object,0,1,pick up the alphabet soup and place it in the basket,8,False,max_ticks,8108b776b0b2eeb48360c3399b08657d491b1b22876275bd39982c68f0608de6,10,280,18.944793943010154,1,322,True,280,175,174,105,174,0,0,206,74,275,1,108.17424299602862,130.3810940531548,132.47841500560753,videos/libero_object__task_000__episode_01.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_02,libero_object,0,2,pick up the alphabet soup and place it in the basket,8,False,max_ticks,5d0007fde4089c300f517302c32ed14d16e94f7567471940128c3294e9f6bf25,10,280,18.91784336899582,1,439,True,280,174,173,105,173,0,0,209,71,277,1,106.1798639857443,127.78288859990425,131.54294800187927,videos/libero_object__task_000__episode_02.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_000__episode_03,libero_object,0,3,pick up the alphabet soup and place it in the basket,8,False,max_ticks,47970af7b7dea518fbcb54d40f5ff12d9d522f26890455dc4778cdf64e9b0b7b,10,280,18.925164889995358,1,556,True,280,176,175,103,175,0,0,204,76,279,1,107.10861200641375,129.80735599267064,132.14136799797416,videos/libero_object__task_000__episode_03.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_00,libero_object,1,0,pick up the cream cheese and place it in the basket,8,False,max_ticks,cd0780e7a57c5ba538e200537fe0720974e2e5b06dad4770cd79d498f19d3ced,10,280,18.865535229997477,1,673,True,280,174,173,105,173,0,0,208,72,276,1,107.47502199956216,130.52730019844603,134.81672800844535,videos/libero_object__task_001__episode_00.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_01,libero_object,1,1,pick up the cream cheese and place it in the basket,8,False,max_ticks,569a3345ff1cbf63903f8fc0ecf1a2412b8200e32d1342053c9a3c0f65848f6f,10,280,18.7059972579882,1,790,True,280,175,174,104,174,0,0,208,72,277,1,107.15794150019065,129.65123835238046,131.50231599865947,videos/libero_object__task_001__episode_01.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_02,libero_object,1,2,pick up the cream cheese and place it in the basket,8,False,max_ticks,b82ed3ffbe0cb0731adf1f8a69c2cf7dc0f66f72a44b4da1f028bfc08173df58,10,280,18.69201893400168,1,907,True,280,176,175,103,175,0,0,203,77,278,1,107.05426600179635,128.97060539689846,132.86106199666392,videos/libero_object__task_001__episode_02.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_001__episode_03,libero_object,1,3,pick up the cream cheese and place it in the basket,8,False,max_ticks,63c6be4dd758e10198cb8f77d80e8299bfa936e1d5ca3afcaba407db3f61a9d1,10,280,18.665903380999225,1,1024,True,280,174,173,105,173,0,0,210,70,276,1,107.24225899321027,128.77969560504425,133.06008899235167,videos/libero_object__task_001__episode_03.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_00,libero_object,2,0,pick up the salad dressing and place it in the basket,8,False,max_ticks,4aef6926b34207f4c23284495324fdeb8fa6ae6f812ae22387b7f644c28b4ecf,10,280,18.554265364989988,1,1141,True,280,175,174,104,174,0,0,205,75,276,1,107.98402849468403,130.8007976920635,133.37768099154346,videos/libero_object__task_002__episode_00.mp4
armbench.pi05_libero_independent_clock.v1,libero_object__task_002__episode_01,libero_object,2,1,pick up the salad dressing and place it in the basket,8,False,max_ticks,3377602acb8e683c2f8072aafbb01e7b7034b6a73e05c788eee6c1c782d29a64,10,280,18.69445055098913,1,1258,True,280,176,175,104,175,0,0,204,76,279,1,106.83434500242583,129.7447085089516,132.4867910007015,videos/libero_object__task_002__episode_01.mp4
