pair_id,task_suite,task_id,episode_index,initial_state_sha256,overlap_unconditioned_condition_order,overlap_unconditioned_success,overlap_unconditioned_policy_queries,overlap_unconditioned_scored_transition_queries,overlap_unconditioned_seam_motion_l2,overlap_unconditioned_seam_gripper_abs,projected_overlap_condition_order,projected_overlap_success,projected_overlap_policy_queries,projected_overlap_scored_transition_queries,projected_overlap_seam_motion_l2,projected_overlap_seam_gripper_abs,rtc_guided_overlap_condition_order,rtc_guided_overlap_success,rtc_guided_overlap_policy_queries,rtc_guided_overlap_scored_transition_queries,rtc_guided_overlap_seam_motion_l2,rtc_guided_overlap_seam_gripper_abs,projected_overlap_success_difference,projected_overlap_seam_motion_l2_difference,projected_overlap_seam_gripper_abs_difference,rtc_guided_overlap_success_difference,rtc_guided_overlap_seam_motion_l2_difference,rtc_guided_overlap_seam_gripper_abs_difference
libero_10__task_00__episode_00,libero_10,0,0,8feb5a31194162cae0d3e381f31ac291b7e8ba02e5af413f2e26b3443d0cb4fe,0,1,54,53,0.10321990486656157,0.039567635869080166,1,1,55,54,0.08253791859304463,0.11239356795946757,2,1,54,53,0.09137599261583022,0.07752445733772134,0,-0.020681986273516945,0.0728259320903874,0,-0.01184391225073135,0.037956821468641176
libero_10__task_00__episode_01,libero_10,0,1,b205e5896df94fc0a732a461f65c9cc0eba93412c3f39e901d1eabb233cf697f,2,1,65,64,0.14320345032319892,0.15821779053658247,0,1,56,55,0.07260293249379504,0.03816776925867254,1,1,56,55,0.08047835412011906,0.038520520383661445,0,-0.07060051782940388,-0.12005002127790992,0,-0.06272509620307987,-0.11969727015292103
libero_10__task_01__episode_00,libero_10,1,0,6743e1718eec1bff4329fc797b47395e529677fd366e17baae29f25b9ba75bf5,1,1,54,53,0.17222941248624954,0.11536399148545175,2,1,51,50,0.09153615264222026,0.042458736896514894,0,1,50,49,0.10330191573926381,0.08364040024426518,0,-0.08069325984402928,-0.07290525458893685,0,-0.06892749674698573,-0.031723591241186566
libero_10__task_01__episode_01,libero_10,1,1,9019f99c69122502341bf41e32bf5715823bb91aad3b875b26de6add8e9cbb49,0,1,49,48,0.12549726959938803,0.0853213220834732,1,1,50,49,0.09393251605559977,0.042668157694291095,2,1,50,49,0.09491846273292084,0.04314121299860429,0,-0.031564753543788265,-0.04265316438918211,0,-0.03057880686646719,-0.04218010908486892
libero_10__task_02__episode_00,libero_10,2,0,386f0e7238b7973aa8e13038f975a6750014c8d20bda276a2613cdbcc93aee94,2,1,45,44,0.07466334591365674,0.0024653944102200594,0,1,44,43,0.07113974413639584,0.04876512150431788,1,1,45,44,0.07975998347286474,0.047772754322398796,0,-0.0035236017772608957,0.04629972709409782,0,0.0050966375592080004,0.045307359912178734
libero_10__task_02__episode_01,libero_10,2,1,f38991ad9d052e5beb86e2318fb2f3a1ea75260c7e070c4d2b3cf9d50b5de7a9,1,1,48,47,0.10769971178725679,0.0872705008121247,2,1,69,68,0.09680624591077075,0.09039218548466177,0,1,48,47,0.08852569897599677,0.044798169998412435,0,-0.010893465876486041,0.0031216846725370673,0,-0.01917401281126002,-0.04247233081371227
libero_10__task_03__episode_00,libero_10,3,0,0eaf962bad65a2fa5bba66aa7b5c0ef34ec74f6783828b50bef177dfa4e36195,0,1,45,44,0.11572894170372323,0.047354122454469856,1,1,45,44,0.0820001129230315,0.09283761002800682,2,1,46,45,0.07703143954277039,0.09073487917582194,0,-0.033728828780691736,0.045483487573536964,0,-0.03869750216095284,0.04338075672135209
libero_10__task_03__episode_01,libero_10,3,1,b63ed9459214bd6b7ffe2496c886cab60fa583f4a404c7d33df6331d09b6f0bf,2,1,46,45,0.11095461150010427,0.04683176146613227,0,1,47,46,0.09469473147359879,0.007266535707142042,1,1,44,43,0.08084807731211185,0.04863201462945273,0,-0.016259880026505483,-0.03956522575899023,0,-0.030106534187992418,0.001800253163320456
libero_10__task_04__episode_00,libero_10,4,0,e7568ef2a84cce5e2f1d900ce3238f522da5be4e686038dded47731623e99e6b,1,1,47,46,0.09146124266249978,0.04554170110951299,2,1,45,44,0.08196542119945992,0.04755669019439004,0,0,105,104,0.07207002882093477,0.07953509860313855,0,-0.009495821463039858,0.0020149890848770446,-1,-0.019391213841565003,0.03399339749362556
libero_10__task_04__episode_01,libero_10,4,1,c2cc5f060b267f4014c27684ce7b840f6b39da37acf73d206100a735e4cd47fb,0,1,44,43,0.09081498390540134,0.0023389902225760526,1,1,44,43,0.08217509537068911,0.0023437114649040754,2,1,44,43,0.07943316395286211,0.0022093528924986374,0,-0.008639888534712231,4.721242328022731e-06,0,-0.01138181995253923,-0.0001296373300774152
libero_10__task_05__episode_00,libero_10,5,0,012d43a8c2f40faf58f469b4982172256427c708c6dffc5fed0f3f46d0993db1,2,1,33,32,0.07297082291916013,0.0021888762712478638,0,1,34,33,0.066301533783024,0.0017601956020702016,1,1,35,34,0.06610927336356219,0.0026268170160405778,0,-0.006669289136136125,-0.00042868066917766214,0,-0.006861549555597937,0.000437940744792714
libero_10__task_05__episode_01,libero_10,5,1,f32cff38d6f304dc466435d455079b14ccc363c86675b3813b8a485e1d95f244,1,1,33,32,0.0744711693841964,0.002340514212846756,2,1,32,31,0.06628642525644071,0.002273919120911629,0,1,35,34,0.07366697681958184,0.002265358672422521,0,-0.008184744127755689,-6.659509193512707e-05,0,-0.0008041925646145587,-7.51555404242348e-05
libero_10__task_06__episode_00,libero_10,6,0,a9a9de7fd496ab6290537a0f49d4d6f3f76e600ed01ba86e453afee835b16e3f,0,1,43,42,0.08772647134693605,0.0021497266633169992,1,1,46,45,0.06985859848144982,0.0022738801108466255,2,1,66,65,0.10483352584907642,0.033209656752072846,0,-0.01786787286548623,0.00012415344752962632,0,0.017107054502140367,0.031059930088755846
libero_10__task_06__episode_01,libero_10,6,1,a193c7d97620f7ad7aa576559d45526039d2ad39a03f7ed539a886d4f443d496,2,1,44,43,0.08688233794947696,0.006809180559113968,0,1,45,44,0.06865537869320675,0.04788879779252139,1,1,44,43,0.07199636376787756,0.0019880255987477858,0,-0.018226959256270214,0.041079617233407424,0,-0.014885974181599398,-0.004821154960366183
libero_10__task_07__episode_00,libero_10,7,0,6b3429ec8f693541fe315f6b25f1bd6673bc54a03be4f844e7a3a7736aaa84ed,1,1,49,48,0.1323597800801508,0.12719480444987616,2,1,48,47,0.12128138260796983,0.12292680714992767,0,1,48,47,0.1170917679654791,0.12977942126862546,0,-0.011078397472180979,-0.004267997299948492,0,-0.015268012114671714,0.0025846168187493024
libero_10__task_07__episode_01,libero_10,7,1,4e830ef5408c1f9983ca0c0df580aa7776b3fc3ef6c55923a179b83c4ca4e8e8,0,1,52,51,0.1185158990761813,0.12009381312949985,1,1,60,59,0.10118791975586092,0.07065438618094234,2,1,53,52,0.10007839033809993,0.002769432388819181,0,-0.01732797932032039,-0.049439426948557505,0,-0.01843750873808138,-0.11732438074068066
libero_10__task_08__episode_00,libero_10,8,0,d5779f813021c5daa305025773923ee45289cdf10af9a1222dfeb276d12654c8,2,1,75,74,0.07699229935737881,0.0017446907790931495,0,1,81,80,0.05936229133512825,0.027094759047031403,1,1,78,77,0.06202881292186,0.028266844811377586,0,-0.017630008022250558,0.02535006826793825,0,-0.014963486435518807,0.026522154032284438
libero_10__task_08__episode_01,libero_10,8,1,bc614980f405d68af84ff2e5cb729e871d90bbd6e8a0c4dbea0cdf6981ab2354,1,1,90,89,0.08072934941168916,0.13686123121990246,2,0,105,104,0.07607240342230608,0.02137097200522056,0,1,73,72,0.06151820861527489,0.029846967922316656,-1,-0.004656945989383085,-0.1154902592146819,0,-0.01921114079641427,-0.1070142632975858
libero_10__task_09__episode_00,libero_10,9,0,d89193a29a6ade49611f48b8f3fb1fd00fde03cf9a7da3511a14fe1ba382642f,0,1,50,49,0.11064547699476991,0.043221673186944455,1,1,51,50,0.08487811777740717,0.0033148193359375,2,1,51,50,0.08630457781255245,0.002098557949066162,0,-0.025767359217362742,-0.03990685385100695,0,-0.024340899182217463,-0.041123115237878295
libero_10__task_09__episode_01,libero_10,9,1,67a86e22340c243c2ba16f7b57fe86ad4e479b44691005c02e6bc365965c2157,2,1,48,47,0.11227131333756954,0.08816365358677317,0,1,51,50,0.09931504910811782,0.08249315619468689,1,1,48,47,0.08866350166499615,0.0029719586068011343,0,-0.012956264229451717,-0.005670497392086277,0,-0.023607811672573392,-0.08519169497997203
