triplet_id,source_artifact,pair_id,task_suite,task_id,episode_index,sampling_seed,initial_state_sha256,overlap_unconditioned_condition_order,overlap_unconditioned_success,overlap_unconditioned_policy_queries,overlap_unconditioned_scored_transition_queries,overlap_unconditioned_seam_motion_l2,overlap_unconditioned_seam_gripper_abs,projected_overlap_condition_order,projected_overlap_success,projected_overlap_policy_queries,projected_overlap_scored_transition_queries,projected_overlap_seam_motion_l2,projected_overlap_seam_gripper_abs,rtc_guided_overlap_condition_order,rtc_guided_overlap_success,rtc_guided_overlap_policy_queries,rtc_guided_overlap_scored_transition_queries,rtc_guided_overlap_seam_motion_l2,rtc_guided_overlap_seam_gripper_abs,projected_overlap_success_difference,projected_overlap_seam_motion_l2_difference,projected_overlap_seam_gripper_abs_difference,rtc_guided_overlap_success_difference,rtc_guided_overlap_seam_motion_l2_difference,rtc_guided_overlap_seam_gripper_abs_difference
libero_10__task_00__episode_02__sampling_seed_20260806,evidence/pi05_rtc_overlap_primary_v3_seed_20260806_001/evaluation#sampling_seed=20260806,libero_10__task_00__episode_02,libero_10,0,2,20260806,09d796f823cee14187bf2a6785333abda36ed3318f075d47947bdc9aef9bb7c7,0,1,52,51,0.10929780168568387,0.0019219050220414704,1,1,52,51,0.08343527500755062,0.0798911218549691,2,1,51,50,0.08179275440983474,0.0021287870407104494,0,-0.025862526678133255,0.07796921683292764,0,-0.027505047275849126,0.00020688201866897894
libero_10__task_00__episode_02__sampling_seed_20260807,evidence/pi05_rtc_overlap_primary_v3_seed_20260807_001/evaluation#sampling_seed=20260807,libero_10__task_00__episode_02,libero_10,0,2,20260807,09d796f823cee14187bf2a6785333abda36ed3318f075d47947bdc9aef9bb7c7,0,1,50,49,0.10866324481915454,0.043142704331145,1,1,51,50,0.09175382584333419,0.0022739017009735106,2,1,49,48,0.09636543289525434,0.04413329685727755,0,-0.01690941897582035,-0.04086880263017149,0,-0.012297811923900198,0.0009905925261325527
libero_10__task_00__episode_03__sampling_seed_20260806,evidence/pi05_rtc_overlap_primary_v3_seed_20260806_001/evaluation#sampling_seed=20260806,libero_10__task_00__episode_03,libero_10,0,3,20260806,edb7e1ed0f5a88e539a40f518ac8b757aacb37fdb1ffb64f6e1ced593bae1340,2,1,54,53,0.12028868141461094,0.11566989601783033,0,1,54,53,0.08203653293609056,0.07733455131638725,1,1,56,55,0.08830548367378387,0.075362858989022,0,-0.038252148478520376,-0.03833534470144308,0,-0.03198319774082707,-0.040307037028808335
libero_10__task_00__episode_03__sampling_seed_20260807,evidence/pi05_rtc_overlap_primary_v3_seed_20260807_001/evaluation#sampling_seed=20260807,libero_10__task_00__episode_03,libero_10,0,3,20260807,edb7e1ed0f5a88e539a40f518ac8b757aacb37fdb1ffb64f6e1ced593bae1340,2,1,56,55,0.1016132144088095,0.03870165022936734,0,1,55,54,0.07486693754240319,0.03924510655579744,1,1,56,55,0.07926704468713565,0.0022982142188332296,0,-0.026746276866406307,0.000543456326430096,0,-0.022346169721673845,-0.03640343601053411
libero_10__task_00__episode_04__sampling_seed_20260806,evidence/pi05_rtc_overlap_primary_v3_seed_20260806_001/evaluation#sampling_seed=20260806,libero_10__task_00__episode_04,libero_10,0,4,20260806,9adfb902d112fa2eec46250c8072d365d77ddcc91b80e9b924ae36ffbef78f72,1,1,57,56,0.10234770142207188,0.1448685558778899,2,1,56,55,0.0689430796964602,0.07486915696750987,0,1,56,55,0.0702202814377167,0.07536886930465699,0,-0.03340462172561168,-0.06999939891038004,0,-0.03212741998435517,-0.06949968657323292
libero_10__task_00__episode_04__sampling_seed_20260807,evidence/pi05_rtc_overlap_primary_v3_seed_20260807_001/evaluation#sampling_seed=20260807,libero_10__task_00__episode_04,libero_10,0,4,20260807,9adfb902d112fa2eec46250c8072d365d77ddcc91b80e9b924ae36ffbef78f72,1,1,64,63,0.11082629909709332,0.2559912252047705,2,1,58,57,0.07217546882467311,0.0019160530023407518,0,1,58,57,0.07431440521031618,0.002166201148116798,0,-0.03865083027242021,-0.25407517220242976,0,-0.03651189388677714,-0.25382502405665375
libero_10__task_00__episode_05__sampling_seed_20260806,evidence/pi05_rtc_overlap_primary_v3_seed_20260806_001/evaluation#sampling_seed=20260806,libero_10__task_00__episode_05,libero_10,0,5,20260806,e389769dc08c0e1ddb0d34b65e3f223829630a3036abef007a1ad01b532ab6f8,0,1,53,52,0.13246858732488292,0.07889481461965121,1,1,53,52,0.09129312067615011,0.0025862363668588493,2,1,53,52,0.09914054929350431,0.002323495653959421,0,-0.04117546664873281,-0.07630857825279236,0,-0.03332803803137861,-0.07657131896569179
libero_10__task_00__episode_05__sampling_seed_20260807,evidence/pi05_rtc_overlap_primary_v3_seed_20260807_001/evaluation#sampling_seed=20260807,libero_10__task_00__episode_05,libero_10,0,5,20260807,e389769dc08c0e1ddb0d34b65e3f223829630a3036abef007a1ad01b532ab6f8,0,1,53,52,0.11190395712709197,0.07830920471594884,1,1,53,52,0.0805114172399044,0.11694357716120206,2,1,53,52,0.09415239432396796,0.040952902573805586,0,-0.03139253988718757,0.03863437244525322,0,-0.01775156280312401,-0.03735630214214325
libero_10__task_00__episode_06__sampling_seed_20260806,evidence/pi05_rtc_overlap_primary_v3_seed_20260806_001/evaluation#sampling_seed=20260806,libero_10__task_00__episode_06,libero_10,0,6,20260806,fc90a2ad5285c590025514a2476c3a071768019a79e015c775295c69d4fc2404,2,1,59,58,0.10291791440726354,0.13978290968927845,0,1,57,56,0.06972649600356817,0.03704121708869934,1,1,57,56,0.06806396420246788,0.03769204765558243,0,-0.03319141840369537,-0.10274169260057911,0,-0.03485395020479566,-0.10209086203369602
libero_10__task_00__episode_06__sampling_seed_20260807,evidence/pi05_rtc_overlap_primary_v3_seed_20260807_001/evaluation#sampling_seed=20260807,libero_10__task_00__episode_06,libero_10,0,6,20260807,fc90a2ad5285c590025514a2476c3a071768019a79e015c775295c69d4fc2404,2,1,55,54,0.0932595624709157,0.039283276708037766,0,1,56,55,0.07652196901088411,0.001893892071463845,1,1,56,55,0.08124983327632601,0.038523110476407135,0,-0.01673759346003159,-0.03738938463657392,0,-0.012009729194589688,-0.000760166231630631
