scenario,condition,mode,chunk,action,source,deadline_exceeded,fallback_latched,raw_safe,repaired_safe,intervened,scale,reason,raw_action,executed_action,q_before,q_after
single_block,fresh_safe_jitter,unguarded,0,0,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.04108863866473058, 0.10602430311368649, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.04108863866473058, 0.10602430311368649, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 1.0]","[0.0, -0.75, 0.0, -2.25, 0.0, 1.55, 0.75]","[-0.002739242577648705, -0.7429317131257542, -0.002279426614245091, -2.2378317181989615, -0.0032946445045247343, 1.5564151095281005, 0.7326]"
single_block,fresh_safe_jitter,unguarded,0,1,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.002739242577648705, -0.7429317131257542, -0.002279426614245091, -2.2378317181989615, -0.0032946445045247343, 1.5564151095281005, 0.7326]","[-0.00547848515529741, -0.7358634262515084, -0.004558853228490182, -2.225663436397923, -0.0065892890090494685, 1.562830219056201, 0.7152000000000001]"
single_block,fresh_safe_jitter,unguarded,0,2,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 1.0]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 1.0]","[-0.00547848515529741, -0.7358634262515084, -0.004558853228490182, -2.225663436397923, -0.0065892890090494685, 1.562830219056201, 0.7152000000000001]","[-0.008217727732946116, -0.7287951393772626, -0.006838279842735274, -2.2134951545968846, -0.009883933513574203, 1.5692453285843013, 0.6978]"
single_block,fresh_safe_jitter,unguarded,0,3,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 1.0]","[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 1.0]","[-0.008217727732946116, -0.7287951393772626, -0.006838279842735274, -2.2134951545968846, -0.009883933513574203, 1.5692453285843013, 0.6978]","[-0.01095697031059482, -0.7217268525030168, -0.009117706456980365, -2.201326872795846, -0.013178578018098937, 1.5756604381124015, 0.6804]"
single_block,fresh_safe_jitter,unguarded,0,4,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.01095697031059482, -0.7217268525030168, -0.009117706456980365, -2.201326872795846, -0.013178578018098937, 1.5756604381124015, 0.6804]","[-0.013696212888243527, -0.714658565628771, -0.011397133071225456, -2.1891585909948077, -0.016473222522623673, 1.582075547640502, 0.663]"
single_block,fresh_safe_jitter,unguarded,0,5,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 1.0]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 1.0]","[-0.013696212888243527, -0.714658565628771, -0.011397133071225456, -2.1891585909948077, -0.016473222522623673, 1.582075547640502, 0.663]","[-0.016435455465892233, -0.7075902787545252, -0.013676559685470548, -2.1769903091937692, -0.019767867027148407, 1.5884906571686024, 0.6456]"
single_block,fresh_safe_jitter,unguarded,0,6,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.016435455465892233, -0.7075902787545252, -0.013676559685470548, -2.1769903091937692, -0.019767867027148407, 1.5884906571686024, 0.6456]","[-0.019174698043540935, -0.7005219918802794, -0.015955986299715636, -2.164822027392731, -0.023062511531673137, 1.5949057666967028, 0.6282]"
single_block,fresh_safe_jitter,unguarded,0,7,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.019174698043540935, -0.7005219918802794, -0.015955986299715636, -2.164822027392731, -0.023062511531673137, 1.5949057666967028, 0.6282]","[-0.02191394062118964, -0.6934537050060335, -0.01823541291396073, -2.1526537455916928, -0.026357156036197874, 1.6013208762248032, 0.6108]"
single_block,fresh_safe_jitter,unguarded,0,8,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 1.0]","[-0.02191394062118964, -0.6934537050060335, -0.01823541291396073, -2.1526537455916928, -0.026357156036197874, 1.6013208762248032, 0.6108]","[-0.024653183198838347, -0.6863854181317878, -0.02051483952820582, -2.1404854637906543, -0.029651800540722608, 1.6077359857529037, 0.5934]"
single_block,fresh_safe_jitter,unguarded,0,9,scripted_non_learned,False,False,,,False,1.0,guard_disabled,"[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 1.0]","[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 1.0]","[-0.024653183198838347, -0.6863854181317878, -0.02051483952820582, -2.1404854637906543, -0.029651800540722608, 1.6077359857529037, 0.5934]","[-0.027392425776487053, -0.679317131257542, -0.022794266142450913, -2.128317181989616, -0.032946445045247345, 1.6141510952810039, 0.576]"
