scenario,condition,stream,policy_source,actual_openpi_inference,mode,latency_profile_ms,inference_latency_p50_ms,inference_latency_p95_ms,inference_latency_max_ms,chunks,action_steps,raw_kinematic_valid,executed_kinematic_valid,intervention_steps,deadline_chunks,fallback_latched_chunks,guard_latency_p50_ms,guard_latency_p95_ms,task_goal_error_rad,task_success,physical_safe,safe_task_success,rmse_rad,obstacle_contact_steps,max_contact_force_n,joint_limit_violation_steps,self_contact_steps,external_image,wrist_image,video_path
single_block,fresh_safe_jitter,planner_safe,scripted_non_learned,False,unguarded,"[0.0, 40.0, 80.0, 160.0]",60.0,160.0,160.0,16,240,True,True,0,0,0,0.0,0.0,0.0076007010919043605,True,True,True,0.02783722538986896,0,0.0,0,0,observations\single_block_external.png,observations\single_block_wrist.png,
single_block,fresh_safe_jitter,planner_safe,scripted_non_learned,False,guarded,"[0.0, 40.0, 80.0, 160.0]",60.0,160.0,160.0,16,240,True,True,0,0,0,4.238150002493057,5.394749996412429,0.0076007010919043605,True,True,True,0.02783722538986896,0,0.0,0,0,observations\single_block_external.png,observations\single_block_wrist.png,
single_block,fresh_collision_fault,direct_unsafe,scripted_non_learned,False,unguarded,[50.0],50.0,50.0,50.0,3,45,False,False,0,0,0,0.0,0.0,0.1924587061628002,False,False,False,0.15555106451355988,673,107.46307247119988,0,0,observations\single_block_external.png,observations\single_block_wrist.png,videos\single_block__fresh_collision_fault__unguarded.mp4
single_block,fresh_collision_fault,direct_unsafe,scripted_non_learned,False,guarded,[50.0],50.0,50.0,50.0,3,45,False,True,40,0,0,5.72929999907501,6.363710003643064,1.2211051483174344,False,True,False,0.010825418994843301,0,0.0,0,0,observations\single_block_external.png,observations\single_block_wrist.png,videos\single_block__fresh_collision_fault__guarded.mp4
single_block,mixed_deadline_jitter,planner_safe,scripted_non_learned,False,unguarded,"[0.0, 40.0, 80.0, 240.0]",60.0,240.0,240.0,16,240,True,True,0,4,0,0.0,0.0,0.0076007010919043605,True,True,True,0.02783722538986896,0,0.0,0,0,observations\single_block_external.png,observations\single_block_wrist.png,
single_block,mixed_deadline_jitter,planner_safe,scripted_non_learned,False,guarded,"[0.0, 40.0, 80.0, 240.0]",60.0,240.0,240.0,16,240,True,True,195,4,13,2.3085000029823277,5.364999999073916,1.3232666623201719,False,True,False,0.009838582257102319,0,0.0,0,0,observations\single_block_external.png,observations\single_block_wrist.png,
narrow_gate,fresh_safe_jitter,planner_safe,scripted_non_learned,False,unguarded,"[0.0, 40.0, 80.0, 160.0]",40.0,160.0,160.0,13,195,True,True,0,0,0,0.0,0.0,0.027924439652719624,True,True,True,0.028783297971458607,0,0.0,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,
narrow_gate,fresh_safe_jitter,planner_safe,scripted_non_learned,False,guarded,"[0.0, 40.0, 80.0, 160.0]",40.0,160.0,160.0,13,195,True,True,0,0,0,4.941799998050556,5.361980003362987,0.027924439652719624,True,True,True,0.028783297971458607,0,0.0,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,videos\narrow_gate__fresh_safe_jitter__guarded.mp4
narrow_gate,fresh_collision_fault,direct_unsafe,scripted_non_learned,False,unguarded,[50.0],50.0,50.0,50.0,3,45,False,False,0,0,0,0.0,0.0,0.975068195298974,False,False,False,0.39478104143370496,1641,85.78975427763622,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,
narrow_gate,fresh_collision_fault,direct_unsafe,scripted_non_learned,False,guarded,[50.0],50.0,50.0,50.0,3,45,False,True,40,0,0,7.943399999930989,7.958610004425282,1.2211051483174344,False,True,False,0.010825418994843301,0,0.0,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,
narrow_gate,mixed_deadline_jitter,planner_safe,scripted_non_learned,False,unguarded,"[0.0, 40.0, 80.0, 240.0]",40.0,240.0,240.0,13,195,True,True,0,3,0,0.0,0.0,0.027924439652719624,True,True,True,0.028783297971458607,0,0.0,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,
narrow_gate,mixed_deadline_jitter,planner_safe,scripted_non_learned,False,guarded,"[0.0, 40.0, 80.0, 240.0]",40.0,240.0,240.0,13,195,True,True,150,3,10,2.8901999976369552,5.689500001608394,1.719030605414563,False,True,False,0.011787949333844115,0,0.0,0,0,observations\narrow_gate_external.png,observations\narrow_gate_wrist.png,
