scenario,payload_mass,execution_horizon,sequence_id,action_offset,executed_horizon,decision_status,policy_source,runtime_fallback,failure_stage,deadline_exceeded,state_mismatch_exceeded,state_mismatch_rad,policy_latency_ms,simulated_inference_wait_s,executed_interventions,planned_interventions,supervisor_latency_ms,observation_q,dispatch_q,actual_q_after
single_block,0.0,1,0,0,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,4.565499999444,"[-6.645505167103729e-12, -0.7499999999998178, -8.430052443761439e-12, -2.2499999999996256, -1.5328964921158848e-11, 1.5500000000003826, 0.7499999999997874]","[-6.645505167103729e-12, -0.7499999999998178, -8.430052443761439e-12, -2.2499999999996256, -1.5328964921158848e-11, 1.5500000000003826, 0.7499999999997874]","[-0.0015762498131403754, -0.7449697022331491, -0.00030910019731126187, -2.242254048111689, -0.0028101360540065765, 1.5532618724663658, 0.7369031905191655]"
single_block,0.0,1,1,1,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,4.327899994677864,"[-0.0015762498131403754, -0.7449697022331491, -0.00030910019731126187, -2.242254048111689, -0.0028101360540065765, 1.5532618724663658, 0.7369031905191655]","[-0.0015762498131403754, -0.7449697022331491, -0.00030910019731126187, -2.242254048111689, -0.0028101360540065765, 1.5532618724663658, 0.7369031905191655]","[-0.00435899480470806, -0.7363791911302922, -0.002403435852494082, -2.22844844316643, -0.006144136266350571, 1.5606517492115122, 0.7186676241417557]"
single_block,0.0,1,2,2,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,4.894300000160001,"[-0.00435899480470806, -0.7363791911302922, -0.002403435852494082, -2.22844844316643, -0.006144136266350571, 1.5606517492115122, 0.7186676241417557]","[-0.00435899480470806, -0.7363791911302922, -0.002403435852494082, -2.22844844316643, -0.006144136266350571, 1.5606517492115122, 0.7186676241417557]","[-0.007736622628618999, -0.7280610898582781, -0.005933036492491139, -2.213992253040529, -0.009530450463888465, 1.5687366043652018, 0.7003402434304076]"
single_block,0.0,1,3,3,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,4.67229999776464,"[-0.007736622628618999, -0.7280610898582781, -0.005933036492491139, -2.213992253040529, -0.009530450463888465, 1.5687366043652018, 0.7003402434304076]","[-0.007736622628618999, -0.7280610898582781, -0.005933036492491139, -2.213992253040529, -0.009530450463888465, 1.5687366043652018, 0.7003402434304076]","[-0.0110824704200007, -0.7214433311684084, -0.009537999794264609, -2.201431477262627, -0.012929143119143019, 1.5754135685101782, 0.6829820195277109]"
single_block,0.0,1,4,4,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,6.680699996650219,"[-0.0110824704200007, -0.7214433311684084, -0.009537999794264609, -2.201431477262627, -0.012929143119143019, 1.5754135685101782, 0.6829820195277109]","[-0.0110824704200007, -0.7214433311684084, -0.009537999794264609, -2.201431477262627, -0.012929143119143019, 1.5754135685101782, 0.6829820195277109]","[-0.014070064540453474, -0.7152378355795224, -0.012351619198423694, -2.189578767391913, -0.016299217189682802, 1.581434636367355, 0.6656937234273652]"
single_block,0.0,1,5,5,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,6.514200002129655,"[-0.014070064540453474, -0.7152378355795224, -0.012351619198423694, -2.189578767391913, -0.016299217189682802, 1.581434636367355, 0.6656937234273652]","[-0.014070064540453474, -0.7152378355795224, -0.012351619198423694, -2.189578767391913, -0.016299217189682802, 1.581434636367355, 0.6656937234273652]","[-0.016648861767752442, -0.7084643455425763, -0.014290908230354801, -2.1775190108914058, -0.01956562308403969, 1.587649725845253, 0.6483613365218662]"
single_block,0.0,1,6,6,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,7.4666000000434,"[-0.016648861767752442, -0.7084643455425763, -0.014290908230354801, -2.1775190108914058, -0.01956562308403969, 1.587649725845253, 0.6483613365218662]","[-0.016648861767752442, -0.7084643455425763, -0.014290908230354801, -2.1775190108914058, -0.01956562308403969, 1.587649725845253, 0.6483613365218662]","[-0.019062383332883244, -0.7011991577232953, -0.01588499816702181, -2.165342968742432, -0.022792032744790892, 1.5941168460928743, 0.6309173323687877]"
single_block,0.0,1,7,7,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,10.603299997455906,"[-0.019062383332883244, -0.7011991577232953, -0.01588499816702181, -2.165342968742432, -0.022792032744790892, 1.5941168460928743, 0.6309173323687877]","[-0.019062383332883244, -0.7011991577232953, -0.01588499816702181, -2.165342968742432, -0.022792032744790892, 1.5941168460928743, 0.6309173323687877]","[-0.021563084443952548, -0.6937888043460462, -0.01766347160296216, -2.1532556625330046, -0.02603994738973727, 1.600603788696448, 0.61344832354085]"
single_block,0.0,1,8,8,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,4.868799995165318,"[-0.021563084443952548, -0.6937888043460462, -0.01766347160296216, -2.1532556625330046, -0.02603994738973727, 1.600603788696448, 0.61344832354085]","[-0.021563084443952548, -0.6937888043460462, -0.01766347160296216, -2.1532556625330046, -0.02603994738973727, 1.600603788696448, 0.61344832354085]","[-0.02427876083632188, -0.6865122100785401, -0.019896547783434606, -2.141271973655498, -0.029329357046567348, 1.6069748447156191, 0.5960938776988268]"
single_block,0.0,1,9,9,1,guarded,scripted_non_learned_reference,False,,False,False,0.0,0.0,0.0,0,0,8.354800003871787,"[-0.02427876083632188, -0.6865122100785401, -0.019896547783434606, -2.141271973655498, -0.029329357046567348, 1.6069748447156191, 0.5960938776988268]","[-0.02427876083632188, -0.6865122100785401, -0.019896547783434606, -2.141271973655498, -0.029329357046567348, 1.6069748447156191, 0.5960938776988268]","[-0.02715239311512085, -0.6793819824135451, -0.02245444233014824, -2.1292048636292464, -0.03265749423826836, 1.6133413636147522, 0.5786838716734058]"
