scenario,execution_horizon,payload_mass,policy_source,action_steps,policy_queries,task_success,physical_safe,safe_task_success,final_goal_error_rad,rmse_rad,max_tracking_error_rad,torque_saturation_count,obstacle_contact_steps,self_contact_steps,joint_limit_violation_steps,runtime_fallback_chunks,executed_interventions,simulated_inference_wait_s,online_physics_feedback,camera_recapture_per_query,actual_openpi_inference,policy_latency_ms,external_image,wrist_image,last_external_image,last_wrist_image,trace
single_block,1,0.0,scripted_non_learned_reference,233,233,True,True,True,0.0008146683300751523,0.0007793359514527283,0.011662863253079303,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0kg__horizon_01__first_external.png,observations\single_block__payload_0kg__horizon_01__first_wrist.png,observations\single_block__payload_0kg__horizon_01__last_external.png,observations\single_block__payload_0kg__horizon_01__last_wrist.png,single_block__payload_0kg__horizon_01.npz
single_block,5,0.0,scripted_non_learned_reference,235,47,True,True,True,0.0002945918554648763,0.0016741442538176455,0.016918944036490635,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0kg__horizon_05__first_external.png,observations\single_block__payload_0kg__horizon_05__first_wrist.png,observations\single_block__payload_0kg__horizon_05__last_external.png,observations\single_block__payload_0kg__horizon_05__last_wrist.png,single_block__payload_0kg__horizon_05.npz
single_block,15,0.0,scripted_non_learned_reference,240,16,True,True,True,0.00014675287763687983,0.0021256062069323627,0.015237120547957117,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0kg__horizon_15__first_external.png,observations\single_block__payload_0kg__horizon_15__first_wrist.png,observations\single_block__payload_0kg__horizon_15__last_external.png,observations\single_block__payload_0kg__horizon_15__last_wrist.png,single_block__payload_0kg__horizon_15.npz
single_block,1,0.5,scripted_non_learned_reference,233,233,True,True,True,0.000910047718895024,0.000884571285567561,0.01332541973638357,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0.5kg__horizon_01__first_external.png,observations\single_block__payload_0.5kg__horizon_01__first_wrist.png,observations\single_block__payload_0.5kg__horizon_01__last_external.png,observations\single_block__payload_0.5kg__horizon_01__last_wrist.png,single_block__payload_0.5kg__horizon_01.npz
single_block,5,0.5,scripted_non_learned_reference,235,47,True,True,True,0.00037410747234312147,0.0017880568724500583,0.017820514809197663,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0.5kg__horizon_05__first_external.png,observations\single_block__payload_0.5kg__horizon_05__first_wrist.png,observations\single_block__payload_0.5kg__horizon_05__last_external.png,observations\single_block__payload_0.5kg__horizon_05__last_wrist.png,single_block__payload_0.5kg__horizon_05.npz
single_block,15,0.5,scripted_non_learned_reference,240,16,True,True,True,0.00016552493996013773,0.002212969913215372,0.016119828313295392,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\single_block__payload_0.5kg__horizon_15__first_external.png,observations\single_block__payload_0.5kg__horizon_15__first_wrist.png,observations\single_block__payload_0.5kg__horizon_15__last_external.png,observations\single_block__payload_0.5kg__horizon_15__last_wrist.png,single_block__payload_0.5kg__horizon_15.npz
narrow_gate,1,0.0,scripted_non_learned_reference,193,193,True,True,True,0.0037004312172296827,0.0008857421562753903,0.010515291322890197,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\narrow_gate__payload_0kg__horizon_01__first_external.png,observations\narrow_gate__payload_0kg__horizon_01__first_wrist.png,observations\narrow_gate__payload_0kg__horizon_01__last_external.png,observations\narrow_gate__payload_0kg__horizon_01__last_wrist.png,narrow_gate__payload_0kg__horizon_01.npz
narrow_gate,5,0.0,scripted_non_learned_reference,195,39,True,True,True,0.0025781977078550566,0.001962521669772219,0.010914674711854366,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\narrow_gate__payload_0kg__horizon_05__first_external.png,observations\narrow_gate__payload_0kg__horizon_05__first_wrist.png,observations\narrow_gate__payload_0kg__horizon_05__last_external.png,observations\narrow_gate__payload_0kg__horizon_05__last_wrist.png,narrow_gate__payload_0kg__horizon_05.npz
narrow_gate,15,0.0,scripted_non_learned_reference,195,13,True,True,True,0.0022997726753036796,0.0027669195739529954,0.014346584725751899,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\narrow_gate__payload_0kg__horizon_15__first_external.png,observations\narrow_gate__payload_0kg__horizon_15__first_wrist.png,observations\narrow_gate__payload_0kg__horizon_15__last_external.png,observations\narrow_gate__payload_0kg__horizon_15__last_wrist.png,narrow_gate__payload_0kg__horizon_15.npz
narrow_gate,1,0.5,scripted_non_learned_reference,193,193,True,True,True,0.004481147243383943,0.0009671973954441628,0.01096070760952128,0,0,0,0,0,0,0.0,True,True,False,0.0,observations\narrow_gate__payload_0.5kg__horizon_01__first_external.png,observations\narrow_gate__payload_0.5kg__horizon_01__first_wrist.png,observations\narrow_gate__payload_0.5kg__horizon_01__last_external.png,observations\narrow_gate__payload_0.5kg__horizon_01__last_wrist.png,narrow_gate__payload_0.5kg__horizon_01.npz
