scenario,payload_mass,execution_horizon,query_index,sequence_id,action_offset,action_index,executed,decision_status,policy_source,reason,intervened,scale,raw_action,guarded_action,q_before,q_after
single_block,0.0,15,0,0,0,0,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638565048, 0.10602430311095368, -0.034191399087225585, 0.1825242270099614, -0.04941966733793654, 0.09622664291576766, -0.26099999999681045, 0.9999999260599012]","[-0.041088638565048, 0.10602430311095368, -0.034191399087225585, 0.1825242270099614, -0.04941966733793654, 0.09622664291576766, -0.26099999999681045, 0.9999999260599012]","[-6.645505167103729e-12, -0.7499999999998178, -8.430052443761439e-12, -2.2499999999996256, -1.5328964921158848e-11, 1.5500000000003826, 0.7499999999997874]","[-0.002739242577648705, -0.7429317131257542, -0.002279426614245091, -2.2378317181989615, -0.0032946445045247343, 1.5564151095281005, 0.7326]"
single_block,0.0,15,0,0,0,1,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.002739242577648705, -0.7429317131257542, -0.002279426614245091, -2.2378317181989615, -0.0032946445045247343, 1.5564151095281005, 0.7326]","[-0.00547848515529741, -0.7358634262515084, -0.004558853228490182, -2.225663436397923, -0.0065892890090494685, 1.562830219056201, 0.7152000000000001]"
single_block,0.0,15,0,0,0,2,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.00547848515529741, -0.7358634262515084, -0.004558853228490182, -2.225663436397923, -0.0065892890090494685, 1.562830219056201, 0.7152000000000001]","[-0.008217727732946116, -0.7287951393772626, -0.006838279842735274, -2.2134951545968846, -0.009883933513574203, 1.5692453285843013, 0.6978]"
single_block,0.0,15,0,0,0,3,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 0.9999999260599012]","[-0.008217727732946116, -0.7287951393772626, -0.006838279842735274, -2.2134951545968846, -0.009883933513574203, 1.5692453285843013, 0.6978]","[-0.01095697031059482, -0.7217268525030168, -0.009117706456980365, -2.201326872795846, -0.013178578018098937, 1.5756604381124015, 0.6804]"
single_block,0.0,15,0,0,0,4,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.01095697031059482, -0.7217268525030168, -0.009117706456980365, -2.201326872795846, -0.013178578018098937, 1.5756604381124015, 0.6804]","[-0.013696212888243527, -0.714658565628771, -0.011397133071225456, -2.1891585909948077, -0.016473222522623673, 1.582075547640502, 0.663]"
single_block,0.0,15,0,0,0,5,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.013696212888243527, -0.714658565628771, -0.011397133071225456, -2.1891585909948077, -0.016473222522623673, 1.582075547640502, 0.663]","[-0.016435455465892233, -0.7075902787545252, -0.013676559685470548, -2.1769903091937692, -0.019767867027148407, 1.5884906571686024, 0.6456]"
single_block,0.0,15,0,0,0,6,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.016435455465892233, -0.7075902787545252, -0.013676559685470548, -2.1769903091937692, -0.019767867027148407, 1.5884906571686024, 0.6456]","[-0.019174698043540935, -0.7005219918802794, -0.015955986299715636, -2.164822027392731, -0.023062511531673137, 1.5949057666967028, 0.6282]"
single_block,0.0,15,0,0,0,7,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.019174698043540935, -0.7005219918802794, -0.015955986299715636, -2.164822027392731, -0.023062511531673137, 1.5949057666967028, 0.6282]","[-0.02191394062118964, -0.6934537050060335, -0.01823541291396073, -2.1526537455916928, -0.026357156036197874, 1.6013208762248032, 0.6108]"
single_block,0.0,15,0,0,0,8,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.02191394062118964, -0.6934537050060335, -0.01823541291396073, -2.1526537455916928, -0.026357156036197874, 1.6013208762248032, 0.6108]","[-0.024653183198838347, -0.6863854181317878, -0.02051483952820582, -2.1404854637906543, -0.029651800540722608, 1.6077359857529037, 0.5934]"
single_block,0.0,15,0,0,0,9,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 0.9999999260599012]","[-0.024653183198838347, -0.6863854181317878, -0.02051483952820582, -2.1404854637906543, -0.029651800540722608, 1.6077359857529037, 0.5934]","[-0.027392425776487053, -0.679317131257542, -0.022794266142450913, -2.128317181989616, -0.032946445045247345, 1.6141510952810039, 0.576]"
single_block,0.0,15,0,0,0,10,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368816, -0.03419139921367635, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368816, -0.03419139921367635, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.027392425776487053, -0.679317131257542, -0.022794266142450913, -2.128317181989616, -0.032946445045247345, 1.6141510952810039, 0.576]","[-0.030131668354135756, -0.6722488443832961, -0.025073692756696003, -2.1161489001885774, -0.03624108954977207, 1.6205662048091043, 0.5586]"
single_block,0.0,15,0,0,0,11,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.030131668354135756, -0.6722488443832961, -0.025073692756696003, -2.1161489001885774, -0.03624108954977207, 1.6205662048091043, 0.5586]","[-0.032870910931784465, -0.6651805575090504, -0.027353119370941096, -2.103980618387539, -0.03953573405429681, 1.6269813143372047, 0.5412]"
single_block,0.0,15,0,0,0,12,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.032870910931784465, -0.6651805575090504, -0.027353119370941096, -2.103980618387539, -0.03953573405429681, 1.6269813143372047, 0.5412]","[-0.03561015350943317, -0.6581122706348046, -0.029632545985186186, -2.0918123365865005, -0.04283037855882155, 1.6333964238653051, 0.5238]"
single_block,0.0,15,0,0,0,13,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368816, -0.034191399213676296, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368816, -0.034191399213676296, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.03561015350943317, -0.6581122706348046, -0.029632545985186186, -2.0918123365865005, -0.04283037855882155, 1.6333964238653051, 0.5238]","[-0.03834939608708187, -0.6510439837605587, -0.03191197259943127, -2.079644054785462, -0.046125023063346274, 1.6398115333934056, 0.5064]"
single_block,0.0,15,0,0,0,14,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.03834939608708187, -0.6510439837605587, -0.03191197259943127, -2.079644054785462, -0.046125023063346274, 1.6398115333934056, 0.5064]","[-0.04108863866473058, -0.643975696886313, -0.034191399213676366, -2.0674757729844235, -0.049419667567871015, 1.646226642921506, 0.489]"
single_block,0.0,15,1,15,15,0,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04610686877297026, 0.11765577736945754, -0.038534706041422964, 0.20944751958648533, -0.06175014406968188, 0.13276191104930724, -0.3905837151286354, 0.9999968563063666]","[-0.04610686877297026, 0.11765577736945754, -0.038534706041422964, 0.20944751958648533, -0.06175014406968188, 0.13276191104930724, -0.3905837151286354, 0.9999968563063666]","[-0.041576498713323744, -0.6430273028906114, -0.03528759160761922, -2.0660007061209487, -0.048867651043272245, 1.6460803352418083, 0.4952455855407204]","[-0.044650289964855094, -0.6351835843993142, -0.03785657201038075, -2.0520375381485163, -0.05298432731458437, 1.6549311293117621, 0.4692066711988114]"
single_block,0.0,15,1,15,15,1,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368816, -0.034191399213676296, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.2610000000000004, 0.9999968563063666]","[-0.04108863866473054, 0.10602430311368816, -0.034191399213676296, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.2610000000000004, 0.9999968563063666]","[-0.044650289964855094, -0.6351835843993142, -0.03785657201038075, -2.0520375381485163, -0.05298432731458437, 1.6549311293117621, 0.4692066711988114]","[-0.0473895325425038, -0.6281152975250683, -0.040135998624625836, -2.039869256347478, -0.0562789718191091, 1.6613462388398625, 0.45180667119881135]"
single_block,0.0,15,1,15,15,2,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.18252422701557025, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999968563063666]","[-0.04108863866473064, 0.10602430311368649, -0.0341913992136764, 0.18252422701557025, -0.04941966756787111, 0.0962266429215064, -0.26099999999999957, 0.9999968563063666]","[-0.0473895325425038, -0.6281152975250683, -0.040135998624625836, -2.039869256347478, -0.0562789718191091, 1.6613462388398625, 0.45180667119881135]","[-0.050128775120152506, -0.6210470106508226, -0.04241542523887093, -2.02770097454644, -0.05957361632363384, 1.667761348367963, 0.4344066711988114]"
single_block,0.0,15,1,15,15,3,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730434, 0.10602430311368649, -0.034191399213676296, 0.1825242270155769, -0.0494196675678708, 0.0962266429215064, -0.26099999999999957, 0.9999968563063666]","[-0.041088638664730434, 0.10602430311368649, -0.034191399213676296, 0.1825242270155769, -0.0494196675678708, 0.0962266429215064, -0.26099999999999957, 0.9999968563063666]","[-0.050128775120152506, -0.6210470106508226, -0.04241542523887093, -2.02770097454644, -0.05957361632363384, 1.667761348367963, 0.4344066711988114]","[-0.0528680176978012, -0.6139787237765768, -0.044694851853116016, -2.0155326927454014, -0.06286826082815855, 1.6741764578960634, 0.4170066711988114]"
single_block,0.0,15,1,15,15,4,True,guarded,scripted_non_learned_reference,accepted,False,1.0,"[-0.041088638664730746, 0.10602430311368816, -0.034191399213676504, 0.1825242270155769, -0.04941966756787132, 0.0962266429215064, -0.26100000000000123, 0.9999968563063666]","[-0.041088638664730746, 0.10602430311368816, -0.034191399213676504, 0.1825242270155769, -0.04941966756787132, 0.0962266429215064, -0.26100000000000123, 0.9999968563063666]","[-0.0528680176978012, -0.6139787237765768, -0.044694851853116016, -2.0155326927454014, -0.06286826082815855, 1.6741764578960634, 0.4170066711988114]","[-0.05560726027544992, -0.6069104369023309, -0.046974278467361116, -2.003364410944363, -0.0661629053326833, 1.6805915674241638, 0.3996066711988113]"
