scenario,payload_mass,execution_horizon,query_index,sequence_id,action_offset,action_index,executed,decision_status,policy_source,reason,intervened,scale,raw_action,guarded_action,q_before,q_after
single_block,0.0,1,0,0,0,0,True,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638565048, 0.10602430311095368, -0.034191399087225585, 0.1825242270099614, -0.04941966733793654, 0.09622664291576766, -0.26099999999681045, 0.9999999260599012]","[-0.041088638565048, 0.10602430311095368, -0.034191399087225585, 0.1825242270099614, -0.04941966733793654, 0.09622664291576766, -0.26099999999681045, 0.9999999260599012]","[-2.939640023727223e-12, -0.7499999999999498, -9.466717776275007e-13, -2.249999999999719, -1.425949101346864e-11, 1.5500000000003693, 0.7499999999996356]","[-0.0027392425739428397, -0.7429317131258862, -0.002279426606761711, -2.237831718199055, -0.0032946445034552603, 1.5564151095280871, 0.7325999999998483]"
single_block,0.0,1,0,0,0,1,False,guarded,openpi_remote,accepted,False,1.0,"[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473058, 0.10602430311368816, -0.034191399213676366, 0.1825242270155769, -0.049419667567871015, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.0027392425739428397, -0.7429317131258862, -0.002279426606761711, -2.237831718199055, -0.0032946445034552603, 1.5564151095280871, 0.7325999999998483]","[-0.005478485151591545, -0.7358634262516404, -0.004558853221006802, -2.2256634363980163, -0.006589289007979995, 1.5628302190561876, 0.7151999999998483]"
single_block,0.0,1,0,0,0,2,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787102, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.005478485151591545, -0.7358634262516404, -0.004558853221006802, -2.2256634363980163, -0.006589289007979995, 1.5628302190561876, 0.7151999999998483]","[-0.00821772772924025, -0.7287951393773946, -0.006838279835251894, -2.213495154596978, -0.00988393351250473, 1.569245328584288, 0.6977999999998482]"
single_block,0.0,1,0,0,0,3,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730566, 0.10602430311368649, -0.03419139921367636, 0.1825242270155769, -0.04941966756787101, 0.09622664292150307, -0.26099999999999957, 0.9999999260599012]","[-0.00821772772924025, -0.7287951393773946, -0.006838279835251894, -2.213495154596978, -0.00988393351250473, 1.569245328584288, 0.6977999999998482]","[-0.010956970306888955, -0.7217268525031488, -0.009117706449496984, -2.2013268727959394, -0.013178578017029464, 1.5756604381123882, 0.6803999999998482]"
single_block,0.0,1,0,0,0,4,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368816, -0.03419139921367637, 0.1825242270155769, -0.049419667567871035, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.010956970306888955, -0.7217268525031488, -0.009117706449496984, -2.2013268727959394, -0.013178578017029464, 1.5756604381123882, 0.6803999999998482]","[-0.013696212884537661, -0.714658565628903, -0.011397133063742076, -2.189158590994901, -0.0164732225215542, 1.5820755476404886, 0.6629999999998483]"
single_block,0.0,1,0,0,0,5,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367637, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26100000000000123, 0.9999999260599012]","[-0.013696212884537661, -0.714658565628903, -0.011397133063742076, -2.189158590994901, -0.0164732225215542, 1.5820755476404886, 0.6629999999998483]","[-0.016435455462186367, -0.7075902787546572, -0.013676559677987168, -2.1769903091938625, -0.019767867026078932, 1.588490657168589, 0.6455999999998482]"
single_block,0.0,1,0,0,0,6,False,guarded,openpi_remote,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368649, -0.034191399213676324, 0.18252422701557025, -0.04941966756787096, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.016435455462186367, -0.7075902787546572, -0.013676559677987168, -2.1769903091938625, -0.019767867026078932, 1.588490657168589, 0.6455999999998482]","[-0.01917469803983507, -0.7005219918804114, -0.015955986292232258, -2.1648220273928245, -0.023062511530603663, 1.5949057666966895, 0.6281999999998482]"
single_block,0.0,1,0,0,0,7,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368816, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.01917469803983507, -0.7005219918804114, -0.015955986292232258, -2.1648220273928245, -0.023062511530603663, 1.5949057666966895, 0.6281999999998482]","[-0.021913940617483776, -0.6934537050061655, -0.01823541290647735, -2.152653745591786, -0.0263571560351284, 1.60132087622479, 0.6107999999998482]"
single_block,0.0,1,0,0,0,8,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.03419139921367635, 0.1825242270155769, -0.04941966756787101, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.021913940617483776, -0.6934537050061655, -0.01823541290647735, -2.152653745591786, -0.0263571560351284, 1.60132087622479, 0.6107999999998482]","[-0.024653183195132482, -0.6863854181319198, -0.02051483952072244, -2.1404854637907476, -0.029651800539653134, 1.6077359857528903, 0.5933999999998483]"
single_block,0.0,1,0,0,0,9,False,guarded,openpi_remote,accepted,False,1.0,"[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 0.9999999260599012]","[-0.041088638664730594, 0.10602430311368649, -0.0341913992136764, 0.1825242270155769, -0.04941966756787106, 0.09622664292150307, -0.26100000000000123, 0.9999999260599012]","[-0.024653183195132482, -0.6863854181319198, -0.02051483952072244, -2.1404854637907476, -0.029651800539653134, 1.6077359857528903, 0.5933999999998483]","[-0.027392425772781188, -0.679317131257674, -0.022794266134967534, -2.128317181989709, -0.032946445044177874, 1.6141510952809905, 0.5759999999998482]"
single_block,0.0,1,0,0,0,10,False,guarded,openpi_remote,accepted,False,1.0,"[-0.04108863866473054, 0.10602430311368816, -0.03419139921367635, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.04108863866473054, 0.10602430311368816, -0.03419139921367635, 0.1825242270155769, -0.049419667567870904, 0.0962266429215064, -0.26099999999999957, 0.9999999260599012]","[-0.027392425772781188, -0.679317131257674, -0.022794266134967534, -2.128317181989709, -0.032946445044177874, 1.6141510952809905, 0.5759999999998482]","[-0.03013166835042989, -0.6722488443834281, -0.025073692749212624, -2.1161489001886706, -0.0362410895487026, 1.620566204809091, 0.5585999999998482]"
