artifact_schema,case_id,condition,mode,scenario,trace,video_path,payload_mass_kg,latency_schedule_ms,latency_jitter_ms,drop_probability,spike_joint,spike_velocity_rad_s,reference_action_steps,runtime_action_steps,target_is_scenario_goal,target_reached,physical_safe,safe_target_reached,final_target_error_rad,tracking_rmse_rad,max_tracking_error_rad,control_thread_id,policy_worker_thread_id,observation_worker_thread_id,control_ticks,control_ticks_during_inference,p95_control_tick_lateness_ms,max_control_tick_lateness_ms,p95_control_tick_gap_ms,max_control_tick_gap_ms,accepted_responses,rejected_responses,deadline_rejections,policy_failures,observation_frames_completed,observation_frames_superseded,superseded_pending_requests,action_boundaries,hold_boundaries,hold_rate,stale_action_commands,index_zero_action_commands,scaled_plan_count,planned_intervention_steps,braking_boundaries,abrupt_stop_violations,repair_selection_deadline_exceedances,unsafe_prepared_plans,p95_policy_latency_ms,max_policy_latency_ms,p95_observation_latency_ms,max_observation_latency_ms,p95_repair_latency_ms,max_repair_latency_ms,max_observation_age_ms,torque_saturation_count,obstacle_contact_steps,self_contact_steps,joint_limit_violation_steps
armbench.async_panda_closed_loop.v2,case_000__fixed_000ms__unguarded,fixed_000ms,unguarded,single_block,traces/case_000__fixed_000ms__unguarded.npz,,0.0,[0.0],0.0,0.0,0,0.0,232,277,True,True,True,True,0.00035613276047685716,0.00040852303529978457,0.006430174844602815,28428,45080,40056,1877,0,14.000000010128133,21.000000007916242,16.00000000325963,32.00000000651926,151,0,0,0,151,126,0,277,3,0.010830324909747292,392,0,0,0,0,2,0,0,0.0,16.00000000325963,157.00000000651926,188.0000000091968,0.0,0.0,406.99999999196734,0,0,0,0
armbench.async_panda_closed_loop.v2,case_001__fixed_000ms__legacy_greedy,fixed_000ms,legacy_greedy,single_block,traces/case_001__fixed_000ms__legacy_greedy.npz,,0.0,[0.0],0.0,0.0,0,0.0,232,277,True,True,True,True,0.000391717815634518,0.0005906402135716594,0.010086840488159443,28428,45008,10308,1877,0,13.999999995576218,27.000000001862645,16.00000000325963,46.000000002095476,143,0,0,0,143,134,0,277,4,0.01444043321299639,364,0,12,38,0,11,0,0,0.0,16.00000000325963,170.49999999289875,172.00000000593718,5.535499993129633,7.041600008960813,406.99999999196734,0,0,0,0
armbench.async_panda_closed_loop.v2,case_002__fixed_000ms__braking_invariant,fixed_000ms,braking_invariant,single_block,traces/case_002__fixed_000ms__braking_invariant.npz,,0.0,[0.0],0.0,0.0,0,0.0,232,277,True,True,True,True,0.00039714881601748964,0.00045888314940714756,0.007484796599139476,28428,18588,41560,1877,1,14.999999999417923,25.99999999802094,16.00000000325963,32.00000000651926,155,0,0,0,155,122,0,277,5,0.018050541516245487,388,0,7,21,2,0,0,0,4.499999999825121,16.00000000325963,156.29999999946446,187.9999999946449,5.976970004849134,7.592100009787828,407.00000000651926,0,0,0,0
armbench.async_panda_closed_loop.v2,case_003__fixed_040ms__unguarded,fixed_040ms,unguarded,single_block,traces/case_003__fixed_040ms__unguarded.npz,,0.0,[40.0],0.0,0.0,0,0.0,232,277,True,True,True,True,0.0031150620953290797,0.00042101816633842583,0.008249595808114352,28428,23828,16188,1877,668,13.999999995576218,21.999999997206032,16.00000000325963,32.00000000651926,143,0,0,0,143,134,0,277,14,0.05054151624548736,367,0,0,0,0,7,0,0,47.00000000593718,62.999999994644895,169.60000000253794,188.0000000091968,0.0,0.0,407.00000000651926,0,0,0,0
armbench.async_panda_closed_loop.v2,case_004__fixed_040ms__legacy_greedy,fixed_040ms,legacy_greedy,single_block,traces/case_004__fixed_040ms__legacy_greedy.npz,,0.0,[40.0],0.0,0.0,0,0.0,232,277,True,False,True,False,0.12461583754229244,0.0010493942102812609,0.011641052762375509,28428,36532,14508,1877,683,14.999999999417923,23.99999999033753,16.00000000325963,32.00000000651926,149,0,0,0,149,128,0,277,12,0.04332129963898917,369,0,41,123,0,31,0,0,47.00000000593718,62.999999994644895,171.00000000209548,187.9999999946449,5.102809998788871,7.660200004465878,406.99999999196734,2,0,0,0
armbench.async_panda_closed_loop.v2,case_005__fixed_040ms__braking_invariant,fixed_040ms,braking_invariant,single_block,traces/case_005__fixed_040ms__braking_invariant.npz,,0.0,[40.0],0.0,0.0,0,0.0,232,277,True,False,True,False,0.07112011278044017,0.0008655891889872662,0.0101981883563724,28428,44028,37172,1877,708,14.999999999417923,27.000000001862645,16.00000000325963,47.00000000593718,148,0,0,0,148,129,0,277,7,0.02527075812274368,411,0,37,108,7,0,0,0,47.00000000593718,63.00000000919681,156.00000000267755,203.00000000861473,4.880635003792122,6.024000002071261,407.00000000651926,0,0,0,0
armbench.async_panda_closed_loop.v2,case_006__fixed_080ms__unguarded,fixed_080ms,unguarded,single_block,traces/case_006__fixed_080ms__unguarded.npz,,0.0,[80.0],0.0,0.0,0,0.0,232,277,True,True,True,True,0.00217502357647259,0.0004537587924510662,0.005595909241747188,28428,39456,21612,1877,1429,13.999999995576218,27.999999991152436,16.00000000325963,47.00000000593718,153,0,0,0,153,124,0,277,27,0.09747292418772563,378,0,0,0,0,24,0,0,94.00000001187436,110.00000000058208,156.39999999839347,172.00000000593718,0.0,0.0,407.00000000651926,0,0,0,0
armbench.async_panda_closed_loop.v2,case_007__fixed_080ms__legacy_greedy,fixed_080ms,legacy_greedy,single_block,traces/case_007__fixed_080ms__legacy_greedy.npz,,0.0,[80.0],0.0,0.0,0,0.0,232,277,True,False,True,False,0.3617278757112371,0.0010709408312913698,0.01522733729570322,28428,40860,32892,1877,1403,14.999999999417923,31.000000002677552,16.00000000325963,47.00000000593718,153,0,0,0,153,124,0,277,28,0.10108303249097472,372,0,49,130,0,35,0,0,94.00000001187436,108.99999999674037,156.00000000267755,172.00000000593718,4.053349999594502,20.065400007297285,407.00000000651926,3,0,0,0
armbench.async_panda_closed_loop.v2,case_008__fixed_080ms__braking_invariant,fixed_080ms,braking_invariant,single_block,traces/case_008__fixed_080ms__braking_invariant.npz,,0.0,[80.0],0.0,0.0,0,0.0,232,277,True,False,True,False,0.29379100776350575,0.000959367477799462,0.011236098467852312,28428,29036,38688,1877,1453,14.999999999417923,25.999999983469024,16.00000000325963,32.00000000651926,156,0,0,0,156,121,0,277,29,0.10469314079422383,440,0,52,129,31,0,0,0,94.00000001187436,109.00000001129229,141.00000000325963,156.99999999196734,4.655030000139957,6.0246999928494915,407.00000000651926,1,0,0,0
armbench.async_panda_closed_loop.v2,case_009__fixed_160ms__unguarded,fixed_160ms,unguarded,single_block,traces/case_009__fixed_160ms__unguarded.npz,,0.0,[160.0],0.0,0.0,0,0.0,232,277,True,False,True,False,0.7243987282422933,0.0014830072722882873,0.02620767853149579,28428,23132,6288,1877,1866,14.000000010128133,29.999999998835847,16.00000000325963,46.999999991385266,50,59,59,0,146,131,36,277,256,0.924187725631769,55,0,0,0,0,70,0,2,172.00000000593718,187.9999999946449,157.00000000651926,172.00000000593718,0.0,0.0,531.9999999919673,9,0,0,0
