schema_version,case_id,provider,fault,expected_status,expected_reason_prefix,policy_succeeded,policy_failure_type,policy_worker_latency_ms,policy_control_ticks,policy_worker_thread_separate,assurance_control_ticks,assurance_worker_latency_ms,assurance_worker_thread_separate,status,reason,supervisor_status,response_age_ms,policy_action_count,policy_actions_executable,partial_prefix_exposed,fallback_validated,expected_match,case_elapsed_ms
armbench.cpu_runtime_completion.v1,mock_latency_000ms,mock_hx8,none,execute,qp_continuous_collision_and_braking,True,,0.0,1,True,2,31.000000002677552,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,125.0,2,True,False,True,True,47.00000000593718
armbench.cpu_runtime_completion.v1,mock_latency_040ms,mock_hx8,none,execute,qp_continuous_collision_and_braking,True,,47.00000000593718,4,True,2,31.000000002677552,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,172.00000000593718,2,True,False,True,True,93.99999999732245
armbench.cpu_runtime_completion.v1,mock_latency_080ms,mock_hx8,none,execute,qp_continuous_collision_and_braking,True,,78.99999999790452,7,True,2,31.000000002677552,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,188.0000000091968,2,True,False,True,True,125.0
armbench.cpu_runtime_completion.v1,mock_latency_160ms,mock_hx8,none,execute,qp_continuous_collision_and_braking,True,,156.00000000267755,12,True,2,31.000000002677552,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,264.9999999994179,2,True,False,True,True,203.00000000861473
armbench.cpu_runtime_completion.v1,frozen_provider_nominal,frozen_hx7_adapter,none,execute,qp_continuous_collision_and_braking,True,,0.0,1,True,2,16.00000000325963,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,125.0,2,True,False,True,True,31.000000002677552
armbench.cpu_runtime_completion.v1,provider_interface_fixture_nominal,openpi_interface_fixture,none,execute,qp_continuous_collision_and_braking,True,,0.0,1,True,2,31.000000002677552,True,execute,qp_continuous_collision_and_braking_invariant_passed,accepted,125.0,2,True,False,True,True,31.000000002677552
armbench.cpu_runtime_completion.v1,provider_fault_malformed_shape,fault_injector,malformed_shape,hold,provider_failure,False,TypeError,0.0,1,True,0,0.0,False,hold,provider_failure:TypeError,,93.99999999732245,0,False,False,False,True,0.0
armbench.cpu_runtime_completion.v1,provider_fault_nonfinite,fault_injector,nonfinite,hold,provider_failure,False,ValueError,0.0,1,True,0,0.0,False,hold,provider_failure:ValueError,,77.99999999406282,0,False,False,False,True,0.0
armbench.cpu_runtime_completion.v1,provider_fault_disconnect,fault_injector,disconnect,hold,provider_failure,False,ConnectionError,0.0,1,True,0,0.0,False,hold,provider_failure:ConnectionError,,93.99999999732245,0,False,False,False,True,0.0
armbench.cpu_runtime_completion.v1,provider_fault_timeout,fault_injector,timeout,hold,provider_failure,False,TimeoutError,0.0,1,True,0,0.0,False,hold,provider_failure:TimeoutError,,77.99999999406282,0,False,False,False,True,0.0
armbench.cpu_runtime_completion.v1,provider_fault_sequence_mismatch,fault_injector,sequence_mismatch,hold,provider_failure,False,ValueError,0.0,1,True,0,0.0,False,hold,provider_failure:ValueError,,78.00000000861473,0,False,False,False,True,0.0
armbench.cpu_runtime_completion.v1,stale_observation,mock_hx8,stale,hold,response_deadline_exceeded_before_supervision,True,,0.0,1,True,1,0.0,True,hold,response_deadline_exceeded_before_supervision,hold,21108.99999999674,0,False,False,True,True,16.00000000325963
armbench.cpu_runtime_completion.v1,state_mismatch,mock_hx8,state_mismatch,hold,observation_state_mismatch,True,,0.0,1,True,1,0.0,True,hold,observation_state_mismatch,hold,94.00000001187436,0,False,False,True,True,16.00000000325963
armbench.cpu_runtime_completion.v1,reset_replay,mock_hx8,reset_before_commit,hold,reset_generation_mismatch,True,,0.0,1,True,2,31.000000002677552,True,hold,reset_generation_mismatch,accepted,125.0,0,False,False,False,True,31.000000002677552
armbench.cpu_runtime_completion.v1,supervision_budget_fail_closed,mock_hx8,tiny_supervision_budget,hold,supervision_budget_exceeded,True,,0.0,1,True,1,0.0,True,hold,supervision_budget_exceeded,hold,93.99999999732245,0,False,False,True,True,16.00000000325963
armbench.cpu_runtime_completion.v1,near_limit_unrecoverable_stop,mock_hx8,near_limit_stop,unrecoverable_stop,response_deadline_exceeded_before_supervision,True,,0.0,1,True,1,0.0,True,unrecoverable_stop,response_deadline_exceeded_before_supervision,unrecoverable_stop,21093.000000008033,0,False,False,False,True,14.999999999417923
armbench.cpu_runtime_completion.v1,intermediate_collision_fail_closed,mock_hx8,intermediate_self_collision,hold,continuous_edge_rejected,True,,0.0,1,True,82,1282.0000000065193,True,hold,continuous_edge_rejected:collision:self:link0:geom_12:link6:geom_50,hold,1360.000000000582,0,False,False,True,True,1297.0000000059372
