schema_version,case_id,scenario,payload_mass_kg,fault,expected_status,expected_failure_stage,status,reason,failure_stage,failure_index,expected_match,policy_actions_executable,policy_action_count,qp_feasible,qp_intervention_steps,qp_fallback_steps,continuous_edges_checked,continuous_rejection_status,continuous_pair_evaluations,conservative_rejection,braking_boundaries_checked,braking_invariant_complete,fallback_validated,fallback_failure_reason,goal_distance_before_rad,goal_distance_after_rad,task_progress_rad,max_inverse_dynamics_torque_ratio,total_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__nominal,free_space,0.0,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,1647,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3115754551656823,60.868999999911466,9.636199999476958,12.007000000266999,39.18309999971825,0.0
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__velocity_spike,free_space,0.0,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,7869,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.31331314171560026,225.08920000018406,9.94170000012673,57.318400000440306,157.78060000047844,0.0
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__stale_response,free_space,0.0,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3112481036896167,13.163599999643338,0.0,0.0,0.0,13.105100000757375
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.0kg__state_mismatch,free_space,0.0,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.31122557423036984,3.791399999499845,0.0,0.0,0.0,3.7442000002556597
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.5kg__nominal,free_space,0.5,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,1719,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3452956414522304,51.0138999998162,8.686600000146427,9.437599999728263,32.84880000046542,0.0
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.5kg__velocity_spike,free_space,0.5,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,8213,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.3488637817837016,286.20020000016666,8.761400000366848,47.925300000315474,229.47109999950044,0.0
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.5kg__stale_response,free_space,0.5,stale_response,verified_brake,deadline,verified_brake,response_deadline_exceeded_before_supervision,deadline,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.34486679653424696,44.7758000000249,0.0,0.0,0.0,44.671800000287476
armbench.integrated_panda_fault_matrix.v1,free_space__payload_0.5kg__state_mismatch,free_space,0.5,state_mismatch,hold,state_alignment,hold,observation_state_mismatch,state_alignment,,True,False,0,,0,0,0,,0,False,0,True,True,,2.65329983228432,2.65329983228432,0.0,0.3448373222373399,12.02370000009978,0.0,0.0,0.0,11.958699999922828
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.0kg__nominal,single_block,0.0,nominal,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,1854,False,3,True,,,2.65329983228432,2.625345372095671,0.02795446018864922,0.3115754551656823,151.14080000057584,26.89170000030572,35.60289999950328,88.38509999986854,0.0
armbench.integrated_panda_fault_matrix.v1,single_block__payload_0.0kg__velocity_spike,single_block,0.0,velocity_spike,accepted,,accepted,qp_continuous_collision_and_braking_invariant_passed,,,True,True,3,True,3,0,3,,8858,False,3,True,,,2.65329983228432,2.461579777316945,0.1917200549673752,0.31331314171560026,596.5800999993007,20.55389999986801,144.5235999999568,431.4337000005253,0.0
