schema_version,stratum,edge_index,q_start,q_end,endpoint_start_valid,endpoint_end_valid,continuous_status,continuous_reason,continuous_collision_pair,continuous_valid,continuous_pair_evaluations,continuous_subintervals,continuous_max_depth,continuous_minimum_distance_m,continuous_motion_bound_m,dense_samples,dense_valid,false_safe,conservative_rejection,continuous_latency_ms,dense_latency_ms
armbench.mujoco_self_collision_audit.v1,known_intermediate,0,"[2.013896901192687,0.8514937392438364,2.128626643260985,-0.7308358555657621,1.5703065944221684,1.5832426543430034,0.5959999237674181]","[2.044760389840342,-1.7175851740339965,2.558238709554596,-2.9380304930478514,-2.797519848117953,1.1846938393238287,-2.8554195536676996]",True,True,collision,collision:self:link0:geom_12:link6:geom_50,self:link0:geom_12:link6:geom_50,False,83455,455,9,-0.0009054562896299803,7.100705513718382,2184,False,False,False,413.2903999998234,99.80999998515472
armbench.mujoco_self_collision_audit.v1,known_intermediate,1,"[-1.4889414746973055,0.8183855660991965,0.7313530281423795,-0.9531398215123539,-2.55992795547586,2.802888440446974,0.08126758623300034]","[0.19649597390969742,0.5349190137038238,2.3190809705725566,-1.1863464771581453,0.8057665087379822,1.6324473096226926,1.483075771610085]",True,True,certified_safe,all_pair_distance_bounds_positive,,True,93513,509,8,0.021649661790539655,5.372418708535145,1683,True,False,False,484.4036000140477,69.40809998195618
armbench.mujoco_self_collision_audit.v1,known_intermediate,2,"[1.3307088718576803,-0.08401667082348285,0.46975031291146596,-0.6834364849994814,-2.448226553621656,1.0924492803197827,-2.341104404630684]","[1.2331882224765995,-1.1429741762527572,-0.8842041040997999,-2.9431632497414957,0.9389482643918252,3.219831074746471,2.587874401358532]",True,True,certified_safe,all_pair_distance_bounds_positive,,True,93879,511,8,0.0199778451413641,6.847551114539174,2465,True,False,False,506.46139998571016,97.3097000096459
armbench.mujoco_self_collision_audit.v1,known_intermediate,3,"[0.01517972068946749,-1.2755139912103444,1.5576984922301702,-1.2185670603054497,2.0756877759716628,0.7734391367249446,-2.8864740890357847]","[0.7498642400986983,-1.309269365984918,0.4647654185200145,-2.2576700986308653,1.8728382121254454,3.060286655762287,-0.3991980709508498]",True,True,certified_safe,all_pair_distance_bounds_positive,,True,47031,255,7,0.021669990717658637,3.8203124173572474,1244,True,False,False,468.3896999922581,101.9285999936983
armbench.mujoco_self_collision_audit.v1,known_intermediate,4,"[-0.5083783564861322,-0.09340265537888426,2.5153943650158843,-1.9777093432123203,1.540641993091182,0.8226464649556788,0.8640922975577925]","[-0.2954620452811869,-1.3034243190993542,-1.5458882932695597,-1.0257903383603493,1.17532785077147,3.104163514990029,2.5860747083139617]",True,True,collision,collision:self:left_finger:geom_68:right_finger:geom_79,self:left_finger:geom_68:right_finger:geom_79,False,9667,51,8,0.0,6.712457148497392,2031,True,False,True,80.12559998314828,145.18590000807308
armbench.mujoco_self_collision_audit.v1,known_intermediate,5,"[-1.875754714021051,0.5344125376135014,-0.9099112022323841,-2.5477381861787345,1.7672494053670689,1.5962647121665092,1.5437983940830402]","[0.2170268775151878,-1.529964434257834,-0.4615845504534417,-0.8146188632670044,-0.48463482001369185,2.135090845814946,0.7240350205770372]",True,True,certified_safe,all_pair_distance_bounds_positive,,True,186843,1019,9,0.021763965620024663,7.319621949787086,1126,True,False,False,2475.1192000112496,120.73799999780022
armbench.mujoco_self_collision_audit.v1,known_intermediate,6,"[1.2188831401098859,-1.2332907083322702,1.8023100274134802,-0.7829396463057261,2.7237960800627268,3.4246767129540783,0.2161862897646074]","[2.369298528200527,0.04673019480511731,-0.8685343825275913,-1.7567166859269951,-0.4949769545590854,2.457099202803993,-1.5089602945945126]",True,True,collision,collision:self:left_finger:geom_68:right_finger:geom_79,self:left_finger:geom_68:right_finger:geom_79,False,19183,103,9,0.0,7.232671961130811,1610,True,False,True,284.2347999976482,142.10969998384826
armbench.mujoco_self_collision_audit.v1,known_intermediate,7,"[-0.847556778914667,1.385887810248668,-1.2732421154004356,-0.6074414712874159,-2.3045556257304276,1.521085857916225,-2.832764691181235]","[-1.960886163156967,-0.6879180249952783,2.489564546426895,-1.7595723258818445,0.5627062420812425,1.3385606657285603,0.8262667829970023]",True,True,collision,collision:self:left_finger:geom_69:right_finger:geom_81,self:left_finger:geom_69:right_finger:geom_81,False,98430,536,9,-0.08150000000000003,9.14788502110457,1882,True,False,True,869.8750999756157,206.2873000104446
armbench.mujoco_self_collision_audit.v1,known_intermediate,8,"[-0.604751741206965,-1.5943393845613967,-2.0248344298810874,-0.3611051794940723,-2.4593415530854803,1.509767295688419,0.1462216777242351]","[2.016423127087793,-1.0067427066852392,0.9481783814014699,-1.7000744380074042,2.78674214946409,3.0691994231965136,2.8012483953421277]",True,True,certified_safe,all_pair_distance_bounds_positive,,True,186111,1015,9,0.020287384543060224,9.641177653754015,2624,True,False,False,1989.7792999981903,244.48409999604337
armbench.mujoco_self_collision_audit.v1,known_intermediate,9,"[-0.497773517169084,0.01967293814963833,0.96043251136458,-2.476601396797571,-0.9428262886211596,1.1117048120420132,-1.4877005463317523]","[2.300202568284917,0.7675925858011046,-1.4422795234084724,-2.494424636455179,2.4950405658432673,2.062346005451878,0.9885548223708196]",True,True,collision,collision:self:left_finger:geom_68:right_finger:geom_77,self:left_finger:geom_68:right_finger:geom_77,False,83963,457,9,-0.08765186686434114,7.814742247480266,1719,True,False,True,1033.3626000210643,135.54540000041015
