artifact_id,task_suite,seed,deadline_ms,rollouts,task_successes,task_success_rate,wilson95_low,wilson95_high,tasks_all_success,tasks_any_success,control_ticks,ticks_during_inference,execute_ticks,hold_ticks,execute_duty_cycle,deadline_hold_ticks,no_response_hold_ticks,response_level_deadline_rejections,provider_failures,source_manifest_sha256
pi05_object_deadline150_seed7_40_20260810_001,libero_object,7,150,40,0,0,0,0.087622,0,0,11200,11071,3013,8187,0.269018,8067,120,9,0,19a9060e779ae6042096e53002d96df7a0eacf2f7a38f7fd8ad89e3427cf22c5
pi05_object_deadline175_seed7_40_20260810_001,libero_object,7,175,40,37,0.925,0.801358,0.974164,7,10,6431,6319,5687,744,0.88431,624,120,0,0,fe1b5b655f7f37c1d864cecbdf66b5cc30ae2d62d2d1df08742bdfc2a6d99b5b
g03_independent_clock_object_40_20260810_001,libero_object,7,200,40,39,0.975,0.871186,0.995573,9,10,6263,6161,5530,733,0.882963,613,120,0,0,e9481fdefa179cbc5d9d36d010a98ccf005b7893f1a1943ea8db609a45f604c0
pi05_object_deadline150_seed8_40_20260810_001,libero_object,8,150,40,0,0,0,0.087622,0,0,11200,11058,2958,8242,0.264107,8122,120,1,0,7656edc083b9920451676ef08514916dc2aece41bbcd2ab8c72e9ab37406522d
pi05_object_deadline175_seed8_40_20260810_001,libero_object,8,175,40,39,0.975,0.871186,0.995573,9,10,6213,6105,5379,834,0.865765,714,120,1,0,9cbfc9a5253611e38e4ec415dc98272c31fcb5b43c8802cea3a1890f418b3320
pi05_object_deadline200_seed8_40_20260810_001,libero_object,8,200,40,39,0.975,0.871186,0.995573,9,10,6032,5927,5319,713,0.881797,593,120,0,0,f1d1bf874414280dfa1bcfdfce14932edece12ba75291b7248816c6e091fe77e
g05_spatial_deadline150_40_20260810_001,libero_spatial,7,150,40,0,0,0,0.087622,0,0,8800,8686,2309,6491,0.262386,6371,120,16,0,8a8eb72341c5f0cccfb7af3ecf2f66b405a273174efa4969691af978f211ae51
pi05_spatial_deadline155_seed7_40_20260810_001,libero_spatial,7,155,40,38,0.95,0.834961,0.986179,9,10,4624,4541,4015,609,0.868296,489,120,2,0,3d24e3a122fc3ed66991bb4d6c4b7fb26f4320e40cba3d4a3324de208d57bea7
g06_spatial_deadline175_40_20260810_001,libero_spatial,7,175,40,38,0.95,0.834961,0.986179,9,10,4555,4472,3942,613,0.865423,495,118,0,0,d6d15f8cd64733da7a63b00890fdbc6ef6bb859b9e86542c7db841fec5f03aac
pi05_libero_independent_clock_core_40_001,libero_spatial,7,200,40,38,0.95,0.834961,0.986179,9,10,4623,4521,4031,592,0.871945,472,120,0,0,8346840626373428cd00723aff248567264ebc164c2df48ea620a248fe6111d9
pi05_libero_spatial_deadline150_seed8_40_20260810_001,libero_spatial,8,150,40,0,0,0,0.087622,0,0,8800,8678,2342,6458,0.266136,6338,120,2,0,345b54aa4a99d1ffa96f913f5f7b8eed17f0f4ccb981d33b2fc706d5423967bf
pi05_spatial_deadline155_seed8_40_20260810_001,libero_spatial,8,155,40,36,0.9,0.769482,0.96042,7,10,4825,4735,4213,612,0.873161,492,120,2,0,d84437eb5bda813c7dcf274d6755256bac98a0af7415b72686a3a76c2f4d19ef
pi05_libero_spatial_deadline175_seed8_40_20260810_001,libero_spatial,8,175,40,37,0.925,0.801358,0.974164,7,10,4681,4590,4060,621,0.867336,501,120,0,0,362b69537e0c186a420523f6737b3f970ec2bc8cf09de47742a832153fd19b2b
pi05_spatial_deadline200_seed8_40_20260810_001,libero_spatial,8,200,40,39,0.975,0.871186,0.995573,9,10,4453,4368,3864,589,0.86773,469,120,0,0,51802399c51b8e842288e845c6acdb7d7a1e93e634445189c4ac1a4f8ebdb499
pi05_spatial_deadline150_seed9_40_20260810_001,libero_spatial,9,150,40,0,0,0,0.087622,0,0,8800,8664,2333,6467,0.265114,6347,120,5,0,c158dfc3dca5d78d62d3fa9244c2cf472653aed55054e12715b436b47b78744b
pi05_spatial_deadline155_seed9_40_20260810_001,libero_spatial,9,155,40,40,1,0.912378,1,10,10,4532,4441,3880,652,0.856134,532,120,2,0,9d06d8a322933f27112636244e2b4db8d15790613c430766afd34b38d1b9e070
pi05_spatial_deadline175_seed9_40_20260810_001,libero_spatial,9,175,40,39,0.975,0.871186,0.995573,9,10,4579,4485,3973,606,0.867657,486,120,0,0,c1dd5243e8521f87f221af3193d78af573d5d0a985b141329eceeefde82d5349
pi05_spatial_deadline200_seed9_40_20260810_001,libero_spatial,9,200,40,38,0.95,0.834961,0.986179,8,10,4744,4655,4121,623,0.868676,503,120,0,0,350f50fdad437fd82c4047863d7812928c6f45be128d51c6741a441852884a03
