schema_version,case_id,source_case_id,selection_index,source_row_index,scenario,profile,response_action_sha256,input_action_sha256,supervision_budget_ms,base_response_age_ms,activation_response_age_ms,supervisor_latency_ms,assurance_worker_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms,status,reason,supervisor_status,failure_stage,candidate_complete,candidate_action_count,published_action_count,policy_actions_executable,partial_prefix_exposed,all_or_none_publication,assurance_worker_thread_separate,fallback_validated,qp_feasible,qp_intervention_steps,joint_position_violation_steps,joint_velocity_violation_steps,joint_acceleration_violation_steps,continuous_edges_checked,continuous_unsafe_edges,continuous_indeterminate_edges,braking_boundaries_checked,braking_invalid_boundaries,all_registered_constraints_satisfied,unsafe_plan_published,software_budget_exceeded,response_deadline_exceeded,broad_phase_pair_tests,broad_phase_pruned_pairs,broad_phase_exact_pair_evaluations,broad_phase_prune_rate,safe_configuration_cache_hits,persistent_qp_solve_calls,persistent_brake_validation_calls
armbench.pi05_optimized_cpu_replay.v1,row_00763__free_space__direct_dispatch__operational_20ms,row_00763__free_space__direct_dispatch,0,763,free_space,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.75407699757488,134.75407700025244,23.4543999977177,31.000000002677552,4.7187000018311664,17.182699994009454,0.0,1.3344999970286153,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6615,6332,283,0.9572184429327286,7,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00763__single_block__direct_dispatch__operational_20ms,row_00763__single_block__direct_dispatch,0,763,single_block,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,102.52607700385852,118.52607699984219,22.602299999562092,15.999999995983671,2.2591000015381724,19.62679999996908,0.0,0.6046999988029711,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,7650,7357,293,0.9616993464052288,7,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00763__narrow_gate__direct_dispatch__operational_20ms,row_00763__narrow_gate__direct_dispatch,0,763,narrow_gate,operational_20ms,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.48747699754313,134.48747699294472,23.105100000975654,14.999999999417923,5.896099995879922,16.41830000153277,0.0,0.6355000004987232,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,7992,7760,232,0.970970970970971,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__free_space__direct_dispatch__operational_20ms,row_00458__free_space__direct_dispatch,1,458,free_space,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.58776900765952,113.58776900306111,21.70979999937117,30.999999995401595,4.956599994329736,15.599799997289665,0.0,1.0481999997864477,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,4851,4646,205,0.9577406720263864,5,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__single_block__direct_dispatch__operational_20ms,row_00458__single_block__direct_dispatch,1,458,single_block,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.50796900392743,113.50796900660498,22.287699997832533,31.000000002677552,4.360699997050688,16.838600000482984,0.0,0.9513000040897168,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6970,6654,316,0.9546628407460546,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00458__narrow_gate__direct_dispatch__operational_20ms,row_00458__narrow_gate__direct_dispatch,1,458,narrow_gate,operational_20ms,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,83.1604690029053,114.16046900558285,23.932500000228174,16.00000000325963,2.132599998731166,20.755199999257457,0.0,0.9286999993491918,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,15768,15242,526,0.9666412988330797,10,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__free_space__direct_dispatch__operational_20ms,row_00222__free_space__direct_dispatch,2,222,free_space,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.54230199957965,202.5423020022572,23.337200000241864,31.000000002677552,3.366400000231806,19.008599992957897,0.0,0.8604000031482428,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,6027,5746,281,0.9533764725402356,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__single_block__direct_dispatch__operational_20ms,row_00222__single_block__direct_dispatch,2,222,single_block,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.895202001906,218.89520200056722,28.905999999551568,30.999999995401595,3.6464999939198606,23.87520000047516,0.0,1.2179999976069666,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,11390,10791,599,0.9474100087796312,6,10,1
armbench.pi05_optimized_cpu_replay.v1,row_00222__narrow_gate__direct_dispatch__operational_20ms,row_00222__narrow_gate__direct_dispatch,2,222,narrow_gate,operational_20ms,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.71460199460853,187.71460199786816,17.10080000339076,16.00000000325963,1.9250999976065941,14.650500001152977,0.0,0.43290000030538067,hold,continuous_edge_rejected:collision:static:gate_upper:link6,hold,continuous_collision,True,10,0,False,False,True,True,True,True,10,0,0,0,10,3,0,10,5,False,False,False,False,10800,10310,485,0.9546296296296296,8,10,1
armbench.pi05_optimized_cpu_replay.v1,row_01467__free_space__direct_dispatch__operational_20ms,row_01467__free_space__direct_dispatch,3,1467,free_space,operational_20ms,0d05a20d8a90b30eac6e6dfc2e65c5d447cb062d06863c48db1367dbdc8d27af,4f17f5dfea4ea95c98fd42f459cd72d84c6d64fa6c129fbeb17b753364002cf1,20.0,92.3235240043141,123.32352399971569,22.334799999953248,30.999999995401595,5.693999999493826,11.675299996568356,3.9010000036796555,0.9040000004461035,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,10437,10000,437,0.9581297307655456,14,10,3
