case_id,selection_index,source_row_index,task_suite,task_id,method,pair_id,episode_id,episode_index,query_index,scenario,response_action_sha256,horizon,inference_latency_ms,policy_inference_latency_ms,server_inference_latency_ms,input_max_abs,input_clipped_steps,velocity_limited_steps,adapter_max_residual_norm,adapter_min_singular_value,adapter_latency_ms,raw_path_safe,deadline_exceeded,fallback_latched,fallback_reason,unsafe_raw_steps,intervention_steps,hold_steps,slew_limited_steps,acceleration_override_steps,max_raw_acceleration_rad_s2,max_guarded_acceleration_rad_s2,guard_latency_ms,safe_after_guard,guarded_path_safe,raw_hand_displacement_m,guarded_hand_displacement_m
row_00389__free_space,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,free_space,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,10,89.17021199886221,55.52917599561624,78.35593500203686,1.002495288848877,6,10,0.4091226441743526,0.1670191101941586,2.9115999932400882,True,False,False,,1,1,0,1,0,26.099999999999998,15.0,7.634599998709746,True,True,0.27681793580610486,0.2714399843916023
row_00389__single_block,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,single_block,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,10,89.17021199886221,55.52917599561624,78.35593500203686,1.002495288848877,6,10,0.4091226441743526,0.1670191101941586,2.4880999990273267,False,False,False,,9,9,6,2,0,26.099999999999998,15.0,6.559499990544282,True,True,0.27681793580610486,0.08154853469610235
row_00389__narrow_gate,0,389,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_04,libero_10__task_00__episode_04__overlap_unconditioned,4,22,narrow_gate,5a9d8eb48d80b8a6f391b7999a765fe0bfcc504a3e6d4ae0c3629381b1531f5c,10,89.17021199886221,55.52917599561624,78.35593500203686,1.002495288848877,6,10,0.4091226441743526,0.1670191101941586,2.4923000019043684,False,False,False,,6,6,4,1,0,26.099999999999998,15.0,7.581500001833774,True,True,0.27681793580610486,0.1622592895686868
row_00498__free_space,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,free_space,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,10,94.8057100031292,55.48866299795918,77.85086299554678,1.007049798965454,10,8,0.21333955151037226,0.20418865272522915,2.218300011008978,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,8.796000009169802,True,True,0.15772603897220566,0.1501842165588179
row_00498__single_block,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,single_block,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,10,94.8057100031292,55.48866299795918,77.85086299554678,1.007049798965454,10,8,0.21333955151037226,0.20418865272522915,2.4262000079033896,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,8.58729999163188,True,True,0.15772603897220566,0.1501842165588179
row_00498__narrow_gate,1,498,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_05,libero_10__task_00__episode_05__overlap_unconditioned,5,11,narrow_gate,10c573643a49020407d005f50af7da08dc8373343a14a3d2b5c184eea376cbba,10,94.8057100031292,55.48866299795918,77.85086299554678,1.007049798965454,10,8,0.21333955151037226,0.20418865272522915,2.3210999934235588,True,False,False,,1,1,0,1,0,21.749999999999996,15.0,7.797299986123107,True,True,0.15772603897220566,0.1501842165588179
row_00777__free_space,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,free_space,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,10,78.85194299888099,55.696642004477326,78.1741540049552,1.0032633543014526,7,10,0.2690649190947065,0.1804148078272957,2.3293000122066587,True,False,False,,1,1,0,1,0,26.099999999999998,15.0,8.02139998995699,True,True,0.30114480992317433,0.2959256007447529
row_00777__single_block,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,single_block,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,10,78.85194299888099,55.696642004477326,78.1741540049552,1.0032633543014526,7,10,0.2690649190947065,0.1804148078272957,2.3963999992702156,False,False,False,,8,8,6,2,0,26.099999999999998,15.0,6.59760000417009,True,True,0.30114480992317433,0.0929529932000205
row_00777__narrow_gate,2,777,libero_10,0,overlap_unconditioned,libero_10__task_00__episode_06,libero_10__task_00__episode_06__overlap_unconditioned,6,24,narrow_gate,21dcde51316a61a06fbf6b6c54f8ce1b11ad66a6ea1ff4f4659efd8c7f7e146e,10,78.85194299888099,55.696642004477326,78.1741540049552,1.0032633543014526,7,10,0.2690649190947065,0.1804148078272957,2.510699996491894,False,False,False,,6,6,4,2,0,26.099999999999998,15.0,7.660300005227327,True,True,0.30114480992317433,0.1545526696600564
row_00052__free_space,3,52,libero_10,0,projected_overlap,libero_10__task_00__episode_02,libero_10__task_00__episode_02__projected_overlap,2,4,free_space,c1af1b1d35e857c8f84f24b1176750295b5443f38a199b4844286541367b800a,10,79.29393599624746,55.68678599956911,78.55986199865583,1.0040019750595093,8,1,0.037460941986849884,0.21743772198345124,2.303000001120381,True,False,False,,1,1,0,1,0,20.870940523107777,15.0,6.936000005225651,True,True,0.2045625691506247,0.20004610267513642
