task_suite,seed,task_id,episode_index,age_aligned_success,response_relative_success,success_difference,age_aligned_execute_duty,response_relative_execute_duty,execute_duty_difference,initial_state_sha256,policy_input_sha256,sampling_key_sha256,sampling_noise_sha256,query0_action_chunk_sha256
libero_spatial,7,0,4,True,True,0,0.83823529,0.83838384,-0.00014854,e028ab4976791a4c402249a77b5b09b44549d6a65acd8f629d9a61c45f049c6b,1dd7a23f11e394753ebca9be7273cdf55d821d2ea5dd9a68873255741a37bfcb,7bf058c6523dfa34152bb122d86837c1595737a94ce3c463ea6197605d92e9d6,a16c76a663c74f3d324f9e3d57b1ef3790e8a92d9f06a462fd0ab35ecdfb00ec,eb521b412826ae0ad48e002476650f8f323405ae920bfe3672c033ff0d86281f
libero_spatial,7,0,5,True,True,0,0.85507246,0.8559322,-0.00085974,a02a6f3f78646a8aebf5c7f992587f813845a963ea2937c77e76b0e7c559ed60,4ff9bdf3b3e37723d6cda22e5bd4eb97c85a6109808e5125bd40d073e164b622,66bf05dd0f7d73a4cb41585c06b105f06e36a87705b5db7d6de7b18c10de07da,76f56652107f71a1b36420ca29d03bf7bbc6a868f94f221ca9e4f6543325e63b,71694133887ea607cc22ecfba60de4ce05fdfe3633dc33ac96fa669254eb45e0
libero_spatial,7,0,6,True,True,0,0.85714286,0.84955752,0.00758534,13cefaeb7cbe5564bb1420fe55fbde3b8a60a9d382517639b05ad247fce3044d,e72ae8277ec27679db68c1860435849492d9241d9d223bffaf21884db2c4c489,fee632673a6a3735d8d0f55f17c40bba2ae9e81431b4bec73790ab5916608c80,1ea926e3cb3f1febf22016f2c1706d0334a6dac58d6368cb3ee08a5867cdb273,ce6682762025471ca3280122b256a4c2668db450b7bd22652871902a55def618
libero_spatial,7,0,7,True,True,0,0.86419753,0.87096774,-0.00677021,2f10b6cf2b4012897a30a4696147807976c704627578a527b88a53474db0fe23,f707b883b5c93b332d2d8eb4bb7bee6c9a6b2409bfd966b78c0759c3583a67cd,dfb0e377b669481ac15a9b4e762c911543a65a26453a83975430a64307372a6c,6e43dabe281e84c355d01b191c21f2505f356711834bb744da5c1651ceca3752,6a33712c9f05fbe736cba33cdc3176a49f642f939baed4a3caa39f89465a27ad
libero_spatial,7,1,4,True,False,1,0.86725664,0.86818182,-0.00092518,203e4b51ca33cdd04c89727d41bfa267c945523a96e45584ce703e278c548219,753da4979d79e39d1478cf624cbd705a0114b745cd31a76865ac6435ddaf47fb,b5e7d3dd63b58fed3b026d191c09b2b70fca84574b6f77a24f2b086aeff2e225,12d891de30427a7476726ec8f402024df22681e6eee5e8874bc4f299b3b3b976,b694fe128937057e3cf87dec7b6dfcd9c6e994f3528ebc5a9abf05902993d382
libero_spatial,7,1,5,True,True,0,0.85046729,0.85714286,-0.00667557,cf34a08ae645eee33dbb9fc8db2039b43ecce9baa8cb9458c8a9f28b6919aafd,07e3d99a79ff3ba058a190251ac9448af81ab2003962acd73abf51143d3530cd,f839c69f8e3e48751fbe897f4de45276077894b05a70aca957eb1721503a0c88,549116efbebfa3e1c3959e639039ffa717165104324fcf515338fa7270fd2e0c,c04e78d2270b2947658d68e84bdd50e8ebaad2d461fcbb8a1c78b5bdf9d1b4cd
libero_spatial,7,1,6,True,True,0,0.86065574,0.86956522,-0.00890948,72fe275650ea9afa6d86e7254288148019b4a39f97373aa7adbdbcb6e2434b1b,fb7b06b698170099525dd27ee85454c53b2603996efcf0ccbbbce560bc3ae01d,186c24a8e60d14232740de400f91f8f9177a7fc9fa156739dbfe473bfbdb5c64,333f37db085a1121593d438557c389be9b6b96cad03be5817055d8e527f94861,2cf17df5ba7c4bf4dc90f696bb703eb1c3c4898df8c8b2d05ce9e5ec78f0d61e
libero_spatial,7,1,7,True,True,0,0.83333333,0.86046512,-0.02713178,7fe870bd906abaaa2ab12fd26ae7d1d6b0abc9ad49fe26fa6b4413d898d7feb6,e02324e3ffdd819fb11a40bc59d740087540016ea6b7e63e3be58557382793a1,12a35c8f8f2dc2dfd6ecb436a8d14b7e23c568c5d1184e350259eebf81ee9fa8,f8f9d9dffb0e774e5da3adda70c2c617754d149a929ce79034d8e2df88493584,c4c5303dc59e5782f903ffc7558f756ae5e0448adbf8da61bff00079268b9e9e
libero_spatial,7,2,4,True,True,0,0.80555556,0.84920635,-0.04365079,506e308c3babde82a347c5a23525a687d3c2f59adb5f7e29a9c338ec7abc7fcf,49f7e40acb9a7fd93f9f5ecd985cbabda39f0662b704b3fe59bc259885f70a8f,d694db3141ffa91770e5259f3c10c77df349c46f00448d90bd28ed9ed6cd0c33,163c5dad151bde3ebafa4e7bc8b83fafb47b64598b9b138fbb1a224552f8f3bf,3a6e17ec19d2ab4d2018a10d2b1a7f2505919746e0d1ae979f2164d25564b3a2
libero_spatial,7,2,5,True,True,0,0.80681818,0.86746988,-0.0606517,c6bcd2b35367b0546114f8b92c6acd01a614a1756bd3fa34e775f7414ed13949,af961457fce57e3ad3714b29e1b24c5859a8580a24363cc8aa026d854f657b04,bf9d949ae1e3f0781425f8ec4db7bdd06ef65313e23040e5b19205468e1abe83,fabecacf0d02d08fae617c7ab6594e150fc12f536d24ec94fd8cad2018966670,0a66b4d79ebc812cf752f0a0fb777fa3d457b20262bb1746df93c46836b088f1
libero_spatial,7,2,6,True,True,0,0.83486239,0.87096774,-0.03610536,5494ed235f79018a3e3c3747adec758412b5b087cb6ea2fadcb15c7b0a304018,6cd4c70107ed393da3d2656003fa3473af2c5208faf289323e921c13f11b2c0d,0bb5ac2cfb95779005fad5d7a996ba647438eef0ae95bf039c458fbf6088ff4d,473a9b48ff7c77a14f456ab7f660a2ed50b9100c97f17512d4f9580ac7d5ae96,199f0f591f77a717c3e846d048ab0fcf56ec4e631eeb6aef8d9e94ad447ff5bd
libero_spatial,7,2,7,True,True,0,0.83802817,0.86896552,-0.03093735,943a79d96b57e64674272be670d2a3bae2931c8a36caf1f47d3f5a43a70a96ea,2cf22c12b131292882b7283c7df2c5695e7b444b53657afc9b9b2c4176fed4c2,940b266bd84b3cab97158b11b868ee8a6e5310746652e3cf523ecbba3ea7a909,1b949fb0a85357f3c562569fcfb18749e28448b2ae0dc6feb4da72f391b9acf6,83feb41f63400af7a2be2648ad35d49355e4f7e8b09706f2565b7f1ddee4878e
libero_spatial,7,3,4,True,True,0,0.84705882,0.86607143,-0.01901261,a33b8722d1c9c4434a8ac96461fbe20f9159949b23fe3bd857e1a09298f7d775,f03ca357e1f5ae2dceee460a5055bd1c7a2652154a30584ecf4aaee78aa83299,058939e8429afce8e34c118e11dcb0f4a7103896ddc40eca046cc60e9b32e91d,9e01ff9a719a8d6573882ed260bef0de5658300ecfae58b6ed718d071bb1bcb6,ddc7261ae54425777fb20442a1a3ab3ca7e134b874387a7e341477baca7c2d01
libero_spatial,7,3,5,True,True,0,0.86585366,0.86363636,0.00221729,6ce86d38f92f1bf2f0ef89eea048e8011e0bd6c9ae3c35b0260cebaf5eb88c02,7a2ab12dd0c0ff19590b389d70580180a9faa3778bed94e7adc81d5d36e700ab,72394687ac86d57ce11ac4cd267573dd6e3c9272b086aed6f35e78997d0019a5,96bb9713317cac20fa38b13b70c010a5e5c429ec285cd0d2078bed731dab0220,cd43ba04a45ef1e4b29d9f72a75872fbcbbbd15a7a31f324a24c8c7d1a89f5a9
libero_spatial,7,3,6,True,True,0,0.83,0.88571429,-0.05571429,86af305f0ec297b199dbb697ea3e12948075420b1cf45dcab5f6d3ec551a46a7,0849f092782e7133502056b0881791e9cc976ac726d13e8c7bcc5b5bffd5342f,b5a5462836d15be87d349bdefd1589174eca1ceb9075040e0a50e55d3d4fa874,b304850b884f0908517013eed0399f4ee7491f9d90b449a7f58274b48e7bea30,8c3be4b7b19f7308089dd85d6e8635bcc0dc4f2efb41ee1656fa73c2196f3b27
libero_spatial,7,3,7,True,True,0,0.84269663,0.86725664,-0.02456001,cb83556da2a5d5fd5b2c403a3ff9124bc769daac6f02152f1115c4298e4af6ec,3649ae241f96287a38e2d9c33786f081a5d08c6658199fa4beee21efb2c4471d,8c62a5143103d8d2fa015fa9c940f43adf4996368243b7fa73fa8dbf0c537abf,9053dfcc73cfa12551334761df412e0f92c7a89bab2598e68559bd7026532732,46f02a13d549b4516d1305d77f2583250271403eb07be432a3dc85fe6c5393cc
libero_spatial,7,4,4,True,True,0,0.87407407,0.87640449,-0.00233042,849063999c0410fd1fd9bcd5c25333195faf1a19fccc6fa55a3dc047f3e2524d,bdaf9ecf4d37c3d1de269bffa724cb897b6cf8bd4c3040064f5d574de3b58162,aa4d684997dc89d5d340490746aa9b6e5cd09181a1dccaf63bfd9bce66d06bdc,c84bffe6743e1c01979762c40072bdca06e1ce70107da4c07b0fda3b07407996,80ed027832bfe1e024380a113285dcb64af3500175be36d18208fbf4ae1c98ec
libero_spatial,7,4,5,True,True,0,0.82978723,0.88023952,-0.05045229,9d27e8547f5f08d749e813810ea5fbcabfda762c07d2bc8a75a79a50e1685994,79b0754efb32c4d91c01e673425e2e1f897acb508679be0e51d9681233c49503,a832923309dd646f198a4f375f4f2644be75cd9859c9988261079075867557f4,88dc643e331095d314534b53b706233c21e95dca208529c16102db9dc16b97bb,568bc93c649f1321c566faf9af191307d209e9375143e079e3aadb9b9961ed71
libero_spatial,7,4,6,True,True,0,0.86486486,0.8817734,-0.01690853,e7d1ddf7761004e49510ab9f3970bf3a7457817bfb57163af33101d940780fdc,d56c199536b6b2a62b43cdebef9e2533c608efa1f4742da108befb403ffc96c5,2a28f0d01750e270a6f7dfc90106319d0811fbe8b507368385c6183f26f1488a,eaad937fec22d77d15e5083dd81a90e8fb8db1ed01a8941fd2810193c71dc1b2,211296fdbc6da15b16575a19f63d007b0754bc28aca4d1a3db381c855a12008c
libero_spatial,7,4,7,False,True,-1,0.87727273,0.87951807,-0.00224535,67b22b8c1c7d85c1e3cc7c5e37ef57eaec6fb80f1d8ee66eb6a7b883464fbd0a,2728731f79f67b895cb0511c70ce1a40327282249a310adf85f4a4958bd4d426,2b864e40f23d23663cb154e2ef550589c7e0122cce555422a314102f2df08f5c,98cec2067c6f0c2caeb38fd82580c63560521cb6a96462fd3aa7937828aab20b,c3c92fe69eeb3dba6e29f2c50414dae82db132fbea199f9427ae6c12464790f2
libero_spatial,7,5,4,True,True,0,0.85576923,0.88194444,-0.02617521,aa0cdeadd136826eac6b6e1aab3d5369dc6850b036ee9bea029eafb4f6df2401,0170329118e05db89668ca83231c3d7daa0d86c7049b1f733bf243938e57c710,034e20db8231f859a049f104ae44a642e59ec45312c4ee4c546880fd171e4259,84dc9a2d9121db8ff6106efa8b127b63679fed9ba6566f70b6244446118504b8,a217b9bab3772e734bfe47b1d688eab206dc87f5038717c24699fdab88349ef2
libero_spatial,7,5,5,True,False,1,0.84848485,0.86818182,-0.01969697,5d7f7c506a97bf93fa32de1e3ed9deca9768d4946b41818a1e12728025b6ac49,2a945cd6583ba7bfa775425dcc6bb1d36f432b55815549ff43845f7ec4cea2c6,c4f491fd4f64a20279b446afe536cf5bdc94fe84b2667eb3a8ae8700d5379511,3c30b414ea39431386509fea254a14787236c240ac6608179087225efe1ddb54,1fa2786ab0a295f3a059e68dc108161dd14e87ce100a6a8548b74b9bed00c7de
libero_spatial,7,5,6,True,True,0,0.85714286,0.87837838,-0.02123552,d07cde9842c77f852f5342c4759dda45a46713c2aed488750db83a5b2ad90c55,123e3d973d57ccbc7077391ff002880c4fb456dbbdb4c3876ed2ea2313c703fa,a91375eecec793cf23b70358b315de5806a139053de0c717534363abab8fcea7,5dc1ef6051c7ca7e9226230e95a52538992554537b80cf1975a9fc62e3f702e3,8a0fc829d6e377827ec8486035fc4d555318fd2b4304f180161ad140db321f70
libero_spatial,7,5,7,True,False,1,0.86111111,0.86363636,-0.00252525,245c4f09d4bd6e446825e4b380acd8f864f0180b08f3be5dea6acc02e18405fb,bc3dce269ac932693908072f785cefc419ae2460044ebee6718c927041d0bec8,51457305f15a3ee96ac54ea0d8873f58f9261bb18f1a6a9de07e96bc6fa07d19,7b836888124190638d710338daa3d1dfa7ebbc0314912b0c25be0c5f276d6b46,153d054892ec51bfbbaa77f2c13902d77f4601dd3b7017f5e5c1fff1d3cf81fd
libero_spatial,7,6,4,True,True,0,0.87128713,0.86231884,0.00896829,fcaeac7cc17d1c0008bf07f238e2d4abfb1c63f4b2231fd34feefdb33b265d8f,374e18069b56ea8152bef747fdbc6ebd1237f8bec23756ccd99d95df154bdf67,d28725d9d1546400d8f13b4ae0ca3ca9d62cf16ed120d3f06803560d6092ada5,7acda203091ee11ed3432177719ea7764049713d6db40589ed75104c8cd3cfdf,b57d62461f8c9638aab1c9df71470a70f4b580c140fdf3e3e482880c11dd1866
libero_spatial,7,6,5,True,True,0,0.85840708,0.86986301,-0.01145593,0ca7363b84c42400b6e3bb06e5827d4c18d8f4b002ec5b2ab66273519cf23e2f,0b2da6e17e1a11d717f42a80598f621f62dbffb888c1343caa057d9edede60a1,ba187a00307f31519d0c7443b9b62b1eb157b558e573a055c1071fc07a8f5385,6902cc614e72fd051fcd82b78303ad23d5abe9971f07dad4e2e2e6a4e7ee077b,4854323aa12c1eecfefcc32225bd69c7c190d567b9ac992bdd050656f1c30de8
libero_spatial,7,6,6,True,True,0,0.87288136,0.88652482,-0.01364347,c878f12613ab732775aac20405d54eb3174e438cea40fe6fb9b1b88a0ece29b0,828efcfcb8a945354e1365ed9ee627e376e87d2da4aef5a5d35ed15827f1e571,4e9b74df8c3d658b5cf4f91aa5c9eacbc68703e901ffd747ba1af318fbb664a2,4bdd6877b974bcf70f9cdf8940e2f8e7a445d2af1435b9cabbda3371634eee94,78e39ca980a5853c488a52641ad735d69e136683ab551413015596cc66bdf5f1
libero_spatial,7,6,7,False,True,-1,0.87727273,0.87692308,0.00034965,5fa1af0478112254215dd54b7039e5d9ea34f6a0787d62d2c86e94d6d9bd3c1c,ff85a93ba805ce89750909d93d114c64dbd1289240e2124766d544cae95cdfaf,3c6065bc864526be9799fa21bb631470f9fd02af87345cf9393598f16837f4dd,cf22b57665587f982f8f7d42fed4141c8a1b8cd7922ae2428fbd58989b1dbae7,13fe0690660a7a924c4a3ba59b2632020137850b9f3d482e593957d463c7c47b
libero_spatial,7,7,4,True,True,0,0.86956522,0.88194444,-0.01237923,e8ba213ad43f879cb85e8d234bcc13d4b87a7f3d5631a9d646ab6b05767236d6,3150801932536b8e506e8ffdb114e97171a619e513808b763d6a83666cd98883,a9eedf2c114c17de7684aedb4711d405305842978147115d4d1fd0352abff5cc,07102495bf06bb3ffa1b7f4cd36be55a8b93210533e0d56b8cf6fec1bbed5c59,f1685986049b36ceda9dfee896f1bdfdeb6b0b0c83acf27b8f0a459f2002c2d4
libero_spatial,7,7,5,True,True,0,0.87603306,0.88950276,-0.0134697,ff36e8fbc3e2f853ab40db5b4a0e736169d5ea35649a356610a538fcfb49c69a,f8059a3681a1f132650a8583c6a6ae20976518a71c2ef9516e37520e96af46de,06a90440886f648dbfd450790793fc8d040c2e08a83036588cc4c5497cf778d2,398556a8d5033f6143bd52d353cea55e2ceffa7f41328f2532c4e8659ff3702c,175ade9c1b407e242d040341bbd19803561bfbfdac88d7615c648907f7fb15ff
libero_spatial,7,7,6,True,True,0,0.85483871,0.87931034,-0.02447164,4ff7927caf3c099d09f3219cb90aed196d4511c1d3165a7809f77f2c8d324062,bf01bfc66461503817093cecba702d35c57b767bf03544350e10d6ff71405605,606185e73b17b258be138530e61ece24b3345b636e5faec7494ae0f70cfbecba,43e2baf8286f4634c142762ec3778c14f45c5cc308a9aec8593829fb94c60dbe,cd9e6bc2190554db8d409542d92e68ced1d6afca5904aa922f1ae03653531df3
libero_spatial,7,7,7,True,True,0,0.864,0.85430464,0.00969536,d529f6f9ed9679b3d5ec477b65265eb7ceeb8d1385137bed2e98dbd32b8a78e5,95c38ed26c32e199c2dd27061bd49d2fb10fd62ac7e0d8969dcdb73b7056110f,c57a1dc51c0ea264a059e22f462992088e4c0c126da749665fa9d235744e3c5e,6f3eafd732cc879d06c741fa226967553c5cd64e4afcea2450a0bd9f38de4670,af29da7cf47818ed933634a7a11bd756d0ea350210e1f489f5449a668a41ac27
libero_spatial,7,8,4,True,True,0,0.84615385,0.86554622,-0.01939237,8365d524c9b6f6e03382a41fc19fafb4cd32c174960b5660cf71dced44b6efbc,2ffdb18431d5f3cb18706cb728e2e8e2d6d019a2edb54fac2eb33d82538a1ccd,95cdc6a01de1e57ddba4d61f58b23d86b7029f23734a768bdba045ba192c4409,c6a8eed2dfdaec78671afb0adc6417e4de2379ff6709d0fabd6a15741cac5858,ef06430594622069bad096714e31953ec59061c064af62d5d497bcf03acdca34
libero_spatial,7,8,5,True,True,0,0.83516484,0.86729858,-0.03213374,7519815ee6cd461969ad7fd764a9459c1e8ded4486ebf82175f3fae4f27cd801,3c7355f4850de93e27b4c79b4ed3e076ed5d9620c49b6924e130c87330a9dd32,d1808ead25b3500fd477e2992e0704ec76829f55e00774eaf3042dd54657a3eb,59410bfbe0c977812b5b1fe86126bfa9c199c3e62c4dd7aa240a94788739d1ff,ba070a7949426b0ef55d178104d8b894775d1c68c1a508837b2b7af770856ffd
libero_spatial,7,8,6,True,True,0,0.88297872,0.84732824,0.03565048,e4eb2ccad7d4debc70bea105c9d93f37ef4935f990cddb616afb11087ade66a1,0f2ff188129c7f9bddb33de6baf6fec7e0549cdbbd947493c9c516129ccee4f6,9dc125c6b8ee187117886afe0566eaf0056c728f43b946c42c35256eb9b01fbe,00677ef98b17f9d68938012d21e2b6aa781ec689f1214b2072fde97845ac7c7d,fcdea793ad8bd92d7f0caff461bf65168d5c61e56ea47d36898e0d3ed6cbfc1f
libero_spatial,7,8,7,True,True,0,0.86516854,0.84920635,0.01596219,7b9960eb745c1f56a09118e172981e3bffc63f87b4f0b2e1a67e5cdf5365b111,427edd3d7268a749ee6c41429c6c179cae24207975850c41e0b6b42e54314948,edb014156a887a1ef6be22e5169ffad5b217fba46730389bd3e9ece3a1c2a983,fe94a16654585d2606164d3b7e5fa40757b0d6d66a2276105438b414ba7b8c1f,77889c5ed4a03bcac1a1fd005f317a382308e2e1c9539c7e3808ffbdf6e1261d
