schema_version,case_id,source_case_id,selection_index,source_row_index,scenario,profile,source_chunk_horizon,certification_horizon,response_action_sha256,input_window_sha256,supervision_budget_ms,base_response_age_ms,activation_response_age_ms,supervisor_latency_ms,assurance_worker_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms,status,reason,supervisor_status,failure_stage,candidate_complete,candidate_action_count,published_action_count,policy_actions_executable,partial_window_exposed,all_or_none_window_publication,source_chunk_prefix_published,assurance_worker_thread_separate,fallback_validated,qp_feasible,qp_intervention_steps,joint_position_violation_steps,joint_velocity_violation_steps,joint_acceleration_violation_steps,continuous_edges_checked,continuous_unsafe_edges,continuous_indeterminate_edges,braking_boundaries_checked,braking_invalid_boundaries,all_registered_constraints_satisfied,unsafe_window_published,software_budget_exceeded,response_deadline_exceeded,broad_phase_pair_tests,broad_phase_pruned_pairs,broad_phase_exact_pair_evaluations,broad_phase_prune_rate,safe_configuration_cache_hits,persistent_qp_solve_calls,persistent_brake_validation_calls
armbench.pi05_windowed_cpu_replay.v1,row_00763__free_space__direct_dispatch__full_chunk_h10,row_00763__free_space__direct_dispatch,0,763,free_space,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.75407699757488,134.75407699763764,27.193200000056095,15.99999999996271,6.420800000000781,17.314400000032037,0.0,2.8796999999940454,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6615,6332,283,0.9572184429327286,7,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00763__single_block__direct_dispatch__full_chunk_h10,row_00763__single_block__direct_dispatch,0,763,single_block,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,102.52607700385852,133.52607700392127,23.650100000054408,31.000000000062755,9.90430000001652,11.852299999986826,0.0,1.4224000000240267,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,3570,3439,131,0.9633053221288516,4,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00763__narrow_gate__direct_dispatch__full_chunk_h10,row_00763__narrow_gate__direct_dispatch,0,763,narrow_gate,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.48747699754313,119.48747699750584,23.752899999976762,15.99999999996271,4.03110000002016,17.424899999923582,0.0,2.1243999999569496,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6264,6086,178,0.9715836526181354,5,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__free_space__direct_dispatch__full_chunk_h10,row_00458__free_space__direct_dispatch,1,458,free_space,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.58776900765952,113.58776900760859,23.865300000011302,30.99999999994907,7.080000000087239,14.313700000002427,0.0,2.046400000040194,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,2499,2402,97,0.9611844737895158,3,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__single_block__direct_dispatch__full_chunk_h10,row_00458__single_block__direct_dispatch,1,458,single_block,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.50796900392743,98.50796900389014,20.981399999982386,15.99999999996271,5.866900000000896,14.620299999933195,0.0,0.3885999999511114,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,9690,9237,453,0.9532507739938081,8,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__narrow_gate__direct_dispatch__full_chunk_h10,row_00458__narrow_gate__direct_dispatch,1,458,narrow_gate,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,83.1604690029053,114.16046900296806,21.01909999998952,15.99999999996271,4.070099999921695,16.170499999930144,0.0,0.6912000000056651,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,10584,10249,335,0.9683484504913077,7,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__free_space__direct_dispatch__full_chunk_h10,row_00222__free_space__direct_dispatch,2,222,free_space,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.54230199957965,202.54230199952872,26.15620000005947,30.99999999994907,6.209399999988818,17.979299999979048,0.0,1.8321000000014465,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,7203,6854,349,0.9515479661252256,7,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__single_block__direct_dispatch__full_chunk_h10,row_00222__single_block__direct_dispatch,2,222,single_block,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.895202001906,202.89520200185507,25.821800000016992,30.99999999994907,3.7347999999610693,19.322099999953934,0.0,2.6074999999536885,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,6290,5957,333,0.9470588235294117,5,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__narrow_gate__direct_dispatch__full_chunk_h10,row_00222__narrow_gate__direct_dispatch,2,222,narrow_gate,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.71460199460853,218.714601994634,20.701199999962228,31.000000000062755,8.469399999967209,11.607099999991988,0.0,0.3758999999945445,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,3,0,10,5,False,False,True,True,5400,5202,198,0.9633333333333334,4,10,1
armbench.pi05_windowed_cpu_replay.v1,row_01467__free_space__direct_dispatch__full_chunk_h10,row_01467__free_space__direct_dispatch,3,1467,free_space,full_chunk_h10,10,10,0d05a20d8a90b30eac6e6dfc2e65c5d447cb062d06863c48db1367dbdc8d27af,4f17f5dfea4ea95c98fd42f459cd72d84c6d64fa6c129fbeb17b753364002cf1,20.0,92.3235240043141,123.32352400426316,22.41799999990235,15.99999999996271,3.6148000000366665,17.92169999998805,0.0,0.7716000000073109,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6321,6054,267,0.9577598481252966,7,10,1
