schema_version,case_id,source_case_id,selection_index,source_row_index,scenario,profile,source_chunk_horizon,certification_horizon,response_action_sha256,input_window_sha256,supervision_budget_ms,base_response_age_ms,activation_response_age_ms,supervisor_latency_ms,assurance_worker_latency_ms,qp_latency_ms,continuous_collision_latency_ms,dynamics_braking_latency_ms,fallback_brake_latency_ms,status,reason,supervisor_status,failure_stage,candidate_complete,candidate_action_count,published_action_count,policy_actions_executable,partial_window_exposed,all_or_none_window_publication,source_chunk_prefix_published,assurance_worker_thread_separate,fallback_validated,qp_feasible,qp_intervention_steps,joint_position_violation_steps,joint_velocity_violation_steps,joint_acceleration_violation_steps,continuous_edges_checked,continuous_unsafe_edges,continuous_indeterminate_edges,braking_boundaries_checked,braking_invalid_boundaries,all_registered_constraints_satisfied,unsafe_window_published,software_budget_exceeded,response_deadline_exceeded,broad_phase_pair_tests,broad_phase_pruned_pairs,broad_phase_exact_pair_evaluations,broad_phase_prune_rate,safe_configuration_cache_hits,persistent_qp_solve_calls,persistent_brake_validation_calls
armbench.pi05_windowed_cpu_replay.v1,row_00763__free_space__direct_dispatch__full_chunk_h10,row_00763__free_space__direct_dispatch,0,763,free_space,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.75407699757488,134.75407700025244,23.98919999541249,16.00000000325963,5.142399997566827,16.619499991065823,0.0,1.9907999958377331,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,4263,4088,175,0.9589490968801314,5,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00763__single_block__direct_dispatch__full_chunk_h10,row_00763__single_block__direct_dispatch,0,763,single_block,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,102.52607700385852,134.52607701037778,24.10220001183916,16.00000000325963,5.699600005755201,16.848200000822544,0.0,0.938900004257448,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,3570,3439,131,0.9633053221288516,4,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00763__narrow_gate__direct_dispatch__full_chunk_h10,row_00763__narrow_gate__direct_dispatch,0,763,narrow_gate,full_chunk_h10,10,10,2ba514276e139d381b7b19bf859e964ad7e1b157ca9f234909fb87328f08ec28,e4ddff608fdc24bbe79f4f345b6ad772cc7e47679fd0522db9fe5c0e6a4512b3,20.0,103.48747699754313,134.48747700022068,28.15500000724569,31.000000002677552,9.249199996702373,17.692499997792765,0.0,1.057399989804253,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,1944,1894,50,0.9742798353909465,2,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__free_space__direct_dispatch__full_chunk_h10,row_00458__free_space__direct_dispatch,1,458,free_space,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.58776900765952,113.58776901033707,25.191299995640293,31.000000002677552,3.869799998938106,17.786500000511296,0.0,3.381300004548393,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,4851,4646,205,0.9577406720263864,5,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__single_block__direct_dispatch__full_chunk_h10,row_00458__single_block__direct_dispatch,1,458,single_block,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,82.50796900392743,114.50796901044669,22.920400006114505,32.00000000651926,5.360600000130944,16.769100009696558,0.0,0.6753000052412972,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6970,6654,316,0.9546628407460546,6,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00458__narrow_gate__direct_dispatch__full_chunk_h10,row_00458__narrow_gate__direct_dispatch,1,458,narrow_gate,full_chunk_h10,10,10,539d85427650fb89affee25f827ab92f2803af4f4686cdda7625ebbcfc4e125f,c20bfe121e217568858d6301db3e88f8bbabf1604fdaa8e909eae454747800b5,20.0,83.1604690029053,114.16046900558285,23.496599998907186,31.000000002677552,3.775699995458126,19.235700005083345,0.0,0.39010000182315707,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,10584,10249,335,0.9683484504913077,7,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__free_space__direct_dispatch__full_chunk_h10,row_00222__free_space__direct_dispatch,2,222,free_space,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.54230199957965,202.5423019877053,21.659500009263866,15.999999988707714,5.7524000003468245,14.99760001024697,0.0,0.7713999948464334,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,3675,3519,156,0.9575510204081633,4,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__single_block__direct_dispatch__full_chunk_h10,row_00222__single_block__direct_dispatch,2,222,single_block,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.895202001906,202.89520200458355,29.58529999887105,31.000000002677552,3.940199996577576,25.002299997140653,0.0,0.4917999904137105,hold,response_deadline_exceeded_during_supervision,hold,deadline,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,True,11390,10791,599,0.9474100087796312,6,10,1
armbench.pi05_windowed_cpu_replay.v1,row_00222__narrow_gate__direct_dispatch__full_chunk_h10,row_00222__narrow_gate__direct_dispatch,2,222,narrow_gate,full_chunk_h10,10,10,7ed64e746df909ff0c71898c554048b30bb88de50d94a6f43787c50679b174e2,21da2b9970d3e9644b5f044a5dcc016b6b5053a5b4e9c17bce52d4303d2b3600,20.0,171.71460199460853,187.71460199786816,23.428600004990585,16.00000000325963,3.811699993093498,18.824900005711243,0.0,0.6697999924654141,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,3,0,10,5,False,False,True,False,5400,5202,198,0.9633333333333334,4,10,1
armbench.pi05_windowed_cpu_replay.v1,row_01467__free_space__direct_dispatch__full_chunk_h10,row_01467__free_space__direct_dispatch,3,1467,free_space,full_chunk_h10,10,10,0d05a20d8a90b30eac6e6dfc2e65c5d447cb062d06863c48db1367dbdc8d27af,4f17f5dfea4ea95c98fd42f459cd72d84c6d64fa6c129fbeb17b753364002cf1,20.0,92.3235240043141,123.32352399243973,22.124800001620315,30.999999988125637,2.9334999999264255,17.595999990589917,0.0,1.4741000049980357,hold,supervision_budget_exceeded,hold,supervision_budget,True,10,0,False,False,True,False,True,True,True,10,0,0,0,10,0,0,10,0,True,False,True,False,6321,6054,267,0.9577598481252966,7,10,1
